"Step","desert-tree-2 - train/loss","desert-tree-2 - train/loss__MIN","desert-tree-2 - train/loss__MAX"
"428","3.3161","3.3161","3.3161"
"429","3.3161","3.3161","3.3161"
"430","3.2057","3.2057","3.2057"
"431","3.2057","3.2057","3.2057"
"432","3.4223","3.4223","3.4223"
"433","3.4223","3.4223","3.4223"
"434","3.4708","3.4708","3.4708"
"435","3.4708","3.4708","3.4708"
"436","3.5056","3.5056","3.5056"
"437","3.5056","3.5056","3.5056"
"438","3.2774","3.2774","3.2774"
"439","3.2774","3.2774","3.2774"
"440","3.378","3.378","3.378"
"441","3.378","3.378","3.378"
"442","3.4866","3.4866","3.4866"
"443","3.4866","3.4866","3.4866"
"444","3.4764","3.4764","3.4764"
"445","3.4764","3.4764","3.4764"
"446","3.1695","3.1695","3.1695"
"447","3.1695","3.1695","3.1695"
"448","3.1805","3.1805","3.1805"
"449","3.1805","3.1805","3.1805"
"450","3.1555","3.1555","3.1555"
"451","3.1555","3.1555","3.1555"
"452","3.1002","3.1002","3.1002"
"453","3.1002","3.1002","3.1002"
"454","3.5068","3.5068","3.5068"
"455","3.5068","3.5068","3.5068"
"456","3.3198","3.3198","3.3198"
"457","3.3198","3.3198","3.3198"
"458","3.2893","3.2893","3.2893"
"459","3.2893","3.2893","3.2893"
"460","3.5777","3.5777","3.5777"
"461","3.5777","3.5777","3.5777"
"462","3.1812","3.1812","3.1812"
"463","3.1812","3.1812","3.1812"
"464","3.3678","3.3678","3.3678"
"465","3.3678","3.3678","3.3678"
"466","3.2753","3.2753","3.2753"
"467","3.2753","3.2753","3.2753"
"468","3.4487","3.4487","3.4487"
"469","3.4487","3.4487","3.4487"
"470","3.3817","3.3817","3.3817"
"471","3.3817","3.3817","3.3817"
"472","3.5854","3.5854","3.5854"
"473","3.5854","3.5854","3.5854"
"474","3.1211","3.1211","3.1211"
"475","3.1211","3.1211","3.1211"
"476","3.2809","3.2809","3.2809"
"477","3.2809","3.2809","3.2809"
"478","3.547","3.547","3.547"
"479","3.547","3.547","3.547"
"480","3.5213","3.5213","3.5213"
"481","3.5213","3.5213","3.5213"
"482","3.2436","3.2436","3.2436"
"483","3.2436","3.2436","3.2436"
"484","3.68","3.68","3.68"
"485","3.68","3.68","3.68"
"486","3.1616","3.1616","3.1616"
"487","3.1616","3.1616","3.1616"
"488","3.5364","3.5364","3.5364"
"489","3.5364","3.5364","3.5364"
"490","3.5526","3.5526","3.5526"
"491","3.5526","3.5526","3.5526"
"492","3.2613","3.2613","3.2613"
"493","3.2613","3.2613","3.2613"
"494","3.4924","3.4924","3.4924"
"495","3.4924","3.4924","3.4924"
"496","3.1158","3.1158","3.1158"
"497","3.1158","3.1158","3.1158"
"498","3.409","3.409","3.409"
"499","3.409","3.409","3.409"
"500","3.4288","3.4288","3.4288"
"501","3.4288","3.4288","3.4288"
"502","3.2963","3.2963","3.2963"
"503","3.2963","3.2963","3.2963"
"504","3.4561","3.4561","3.4561"
"505","3.4561","3.4561","3.4561"
"506","3.2975","3.2975","3.2975"
"507","3.2975","3.2975","3.2975"
"508","3.4458","3.4458","3.4458"
"509","3.4458","3.4458","3.4458"
"510","3.3645","3.3645","3.3645"
"511","3.3645","3.3645","3.3645"
"512","3.3533","3.3533","3.3533"
"513","3.3533","3.3533","3.3533"
"514","3.5079","3.5079","3.5079"
"515","3.5079","3.5079","3.5079"
"516","3.5586","3.5586","3.5586"
"517","3.5586","3.5586","3.5586"
"518","3.1016","3.1016","3.1016"
"519","3.1016","3.1016","3.1016"
"520","3.3519","3.3519","3.3519"
"521","3.3519","3.3519","3.3519"
"522","3.3312","3.3312","3.3312"
"523","3.3312","3.3312","3.3312"
"524","3.5892","3.5892","3.5892"
"525","3.5892","3.5892","3.5892"
"526","3.296","3.296","3.296"
"527","3.296","3.296","3.296"
"528","3.3983","3.3983","3.3983"
"529","3.3983","3.3983","3.3983"
"530","3.1186","3.1186","3.1186"
"531","3.1186","3.1186","3.1186"
"532","3.1199","3.1199","3.1199"
"533","3.1199","3.1199","3.1199"
"534","3.1918","3.1918","3.1918"
"535","3.1918","3.1918","3.1918"
"536","3.3502","3.3502","3.3502"
"537","3.3502","3.3502","3.3502"
"538","3.2999","3.2999","3.2999"
"539","3.2999","3.2999","3.2999"
"540","3.2798","3.2798","3.2798"
"541","3.2798","3.2798","3.2798"
"542","3.4358","3.4358","3.4358"
"543","3.4358","3.4358","3.4358"
"544","3.3732","3.3732","3.3732"
"545","3.3732","3.3732","3.3732"
"546","3.3983","3.3983","3.3983"
"547","3.3983","3.3983","3.3983"
"548","3.7103","3.7103","3.7103"
"549","3.7103","3.7103","3.7103"
"550","3.329","3.329","3.329"
"551","3.329","3.329","3.329"
"552","3.3585","3.3585","3.3585"
"553","3.3585","3.3585","3.3585"
"554","3.2903","3.2903","3.2903"
"555","3.2903","3.2903","3.2903"
"556","2.8823","2.8823","2.8823"
"557","2.8823","2.8823","2.8823"
"558","3.406","3.406","3.406"
"559","3.406","3.406","3.406"
"560","3.388","3.388","3.388"
"561","3.388","3.388","3.388"
"562","3.393","3.393","3.393"
"563","3.393","3.393","3.393"
"564","3.2703","3.2703","3.2703"
"565","3.2703","3.2703","3.2703"
"566","3.3452","3.3452","3.3452"
"567","3.3452","3.3452","3.3452"
"568","3.3072","3.3072","3.3072"
"569","3.3072","3.3072","3.3072"
"570","3.3787","3.3787","3.3787"
"571","3.3787","3.3787","3.3787"
"572","3.2241","3.2241","3.2241"
"573","3.2241","3.2241","3.2241"
"574","2.9913","2.9913","2.9913"
"575","2.9913","2.9913","2.9913"
"576","3.3211","3.3211","3.3211"
"577","3.3211","3.3211","3.3211"
"578","3.2456","3.2456","3.2456"
"579","3.2456","3.2456","3.2456"
"580","3.1599","3.1599","3.1599"
"581","3.1599","3.1599","3.1599"
"582","3.483","3.483","3.483"
"583","3.483","3.483","3.483"
"584","3.308","3.308","3.308"
"585","3.308","3.308","3.308"
"586","3.0736","3.0736","3.0736"
"587","3.0736","3.0736","3.0736"
"588","3.4401","3.4401","3.4401"
"589","3.4401","3.4401","3.4401"
"590","3.1968","3.1968","3.1968"
"591","3.1968","3.1968","3.1968"
"592","3.2159","3.2159","3.2159"
"593","3.2159","3.2159","3.2159"
"594","3.3532","3.3532","3.3532"
"595","3.3532","3.3532","3.3532"
"596","3.2843","3.2843","3.2843"
"597","3.2843","3.2843","3.2843"
"598","3.3859","3.3859","3.3859"
"599","3.3859","3.3859","3.3859"
"600","3.3688","3.3688","3.3688"
"601","3.3688","3.3688","3.3688"
"602","3.3755","3.3755","3.3755"
"603","3.3755","3.3755","3.3755"
"604","3.3326","3.3326","3.3326"
"605","3.3326","3.3326","3.3326"
"606","3.2761","3.2761","3.2761"
"607","3.2761","3.2761","3.2761"
"608","3.4048","3.4048","3.4048"
"609","3.4048","3.4048","3.4048"
"610","3.1626","3.1626","3.1626"
"611","3.1626","3.1626","3.1626"
"612","3.1605","3.1605","3.1605"
"613","3.1605","3.1605","3.1605"
"614","3.4529","3.4529","3.4529"
"615","3.4529","3.4529","3.4529"
"616","3.3409","3.3409","3.3409"
"617","3.3409","3.3409","3.3409"
"618","3.1772","3.1772","3.1772"
"619","3.1772","3.1772","3.1772"
"620","3.2607","3.2607","3.2607"
"621","3.2607","3.2607","3.2607"
"622","3.3497","3.3497","3.3497"
"623","3.3497","3.3497","3.3497"
"624","3.4963","3.4963","3.4963"
"625","3.4963","3.4963","3.4963"
"626","3.1872","3.1872","3.1872"
"627","3.1872","3.1872","3.1872"
"628","3.3071","3.3071","3.3071"
"629","3.3071","3.3071","3.3071"
"630","3.001","3.001","3.001"
"631","3.001","3.001","3.001"
"632","2.9813","2.9813","2.9813"
"633","2.9813","2.9813","2.9813"
"634","3.0216","3.0216","3.0216"
"635","3.0216","3.0216","3.0216"
"636","3.335","3.335","3.335"
"637","3.335","3.335","3.335"
"638","2.9802","2.9802","2.9802"
"639","2.9802","2.9802","2.9802"
"640","3.1113","3.1113","3.1113"
"641","3.1113","3.1113","3.1113"
"642","3.2894","3.2894","3.2894"
"643","3.2894","3.2894","3.2894"
"644","3.4383","3.4383","3.4383"
"645","3.4383","3.4383","3.4383"
"646","3.3501","3.3501","3.3501"
"647","3.3501","3.3501","3.3501"
"648","2.8324","2.8324","2.8324"
"649","2.8324","2.8324","2.8324"
"650","3.4064","3.4064","3.4064"
"651","3.4064","3.4064","3.4064"
"652","3.4721","3.4721","3.4721"
"653","3.4721","3.4721","3.4721"
"654","3.2985","3.2985","3.2985"
"655","3.2985","3.2985","3.2985"
"656","2.9645","2.9645","2.9645"
"657","2.9645","2.9645","2.9645"
"658","3.1689","3.1689","3.1689"
"659","3.1689","3.1689","3.1689"
"660","3.44","3.44","3.44"
"661","3.44","3.44","3.44"
"662","3.2282","3.2282","3.2282"
"663","3.2282","3.2282","3.2282"
"664","3.5007","3.5007","3.5007"
"665","3.5007","3.5007","3.5007"
"666","3.039","3.039","3.039"
"667","3.039","3.039","3.039"
"668","3.2098","3.2098","3.2098"
"669","3.2098","3.2098","3.2098"
"670","3.3179","3.3179","3.3179"
"671","3.3179","3.3179","3.3179"
"672","3.2639","3.2639","3.2639"
"673","3.2639","3.2639","3.2639"
"674","3.118","3.118","3.118"
"675","3.118","3.118","3.118"
"676","3.6967","3.6967","3.6967"
"677","3.6967","3.6967","3.6967"
"678","3.2644","3.2644","3.2644"
"679","3.2644","3.2644","3.2644"
"680","3.2085","3.2085","3.2085"
"681","3.2085","3.2085","3.2085"
"682","3.4605","3.4605","3.4605"
"683","3.4605","3.4605","3.4605"
"684","3.1131","3.1131","3.1131"
"685","3.1131","3.1131","3.1131"
"686","3.224","3.224","3.224"
"687","3.224","3.224","3.224"
"688","3.1639","3.1639","3.1639"
"689","3.1639","3.1639","3.1639"
"690","2.9561","2.9561","2.9561"
"691","2.9561","2.9561","2.9561"
"692","2.8036","2.8036","2.8036"
"693","2.8036","2.8036","2.8036"
"694","2.8746","2.8746","2.8746"
"695","2.8746","2.8746","2.8746"
"696","3.2471","3.2471","3.2471"
"697","3.2471","3.2471","3.2471"
"698","3.0144","3.0144","3.0144"
"699","3.0144","3.0144","3.0144"
"700","3.2376","3.2376","3.2376"
"701","3.2376","3.2376","3.2376"
"702","2.9643","2.9643","2.9643"
"703","2.9643","2.9643","2.9643"
"704","3.2279","3.2279","3.2279"
"705","3.2279","3.2279","3.2279"
"706","3.1051","3.1051","3.1051"
"707","3.1051","3.1051","3.1051"
"708","2.769","2.769","2.769"
"709","2.769","2.769","2.769"
"710","2.8554","2.8554","2.8554"
"711","2.8554","2.8554","2.8554"
"712","3.0347","3.0347","3.0347"
"713","3.0347","3.0347","3.0347"
"714","3.1807","3.1807","3.1807"
"715","3.1807","3.1807","3.1807"
"716","3.3281","3.3281","3.3281"
"717","3.3281","3.3281","3.3281"
"718","3.0097","3.0097","3.0097"
"719","3.0097","3.0097","3.0097"
"720","2.8514","2.8514","2.8514"
"721","2.8514","2.8514","2.8514"
"722","3.2729","3.2729","3.2729"
"723","3.2729","3.2729","3.2729"
"724","3.0016","3.0016","3.0016"
"725","3.0016","3.0016","3.0016"
"726","3.0292","3.0292","3.0292"
"727","3.0292","3.0292","3.0292"
"728","2.7432","2.7432","2.7432"
"729","2.7432","2.7432","2.7432"
"730","3.2826","3.2826","3.2826"
"731","3.2826","3.2826","3.2826"
"732","2.9136","2.9136","2.9136"
"733","2.9136","2.9136","2.9136"
"734","2.9794","2.9794","2.9794"
"735","2.9794","2.9794","2.9794"
"736","2.8861","2.8861","2.8861"
"737","2.8861","2.8861","2.8861"
"738","3.0091","3.0091","3.0091"
"739","3.0091","3.0091","3.0091"
"740","2.8233","2.8233","2.8233"
"741","2.8233","2.8233","2.8233"
