"Step","rosy-aardvark-2 - train/loss","rosy-aardvark-2 - train/loss__MIN","rosy-aardvark-2 - train/loss__MAX"
"88","4.1681","4.1681","4.1681"
"89","4.1681","4.1681","4.1681"
"90","4.069","4.069","4.069"
"91","4.069","4.069","4.069"
"92","3.7702","3.7702","3.7702"
"93","3.7702","3.7702","3.7702"
"94","4.0263","4.0263","4.0263"
"95","4.0263","4.0263","4.0263"
"96","3.765","3.765","3.765"
"97","3.765","3.765","3.765"
"98","4.1266","4.1266","4.1266"
"99","4.1266","4.1266","4.1266"
"100","3.6942","3.6942","3.6942"
"101","3.6942","3.6942","3.6942"
"102","3.8165","3.8165","3.8165"
"103","3.8165","3.8165","3.8165"
"104","4.0703","4.0703","4.0703"
"105","4.0703","4.0703","4.0703"
"106","4.0182","4.0182","4.0182"
"107","4.0182","4.0182","4.0182"
"108","3.7808","3.7808","3.7808"
"109","3.7808","3.7808","3.7808"
"110","3.8092","3.8092","3.8092"
"111","3.8092","3.8092","3.8092"
"112","3.8181","3.8181","3.8181"
"113","3.8181","3.8181","3.8181"
"114","4.009","4.009","4.009"
"115","4.009","4.009","4.009"
"116","3.5973","3.5973","3.5973"
"117","3.5973","3.5973","3.5973"
"118","3.6872","3.6872","3.6872"
"119","3.6872","3.6872","3.6872"
"120","3.7847","3.7847","3.7847"
"121","3.7847","3.7847","3.7847"
"122","3.9659","3.9659","3.9659"
"123","3.9659","3.9659","3.9659"
"124","3.9175","3.9175","3.9175"
"125","3.9175","3.9175","3.9175"
"126","3.5862","3.5862","3.5862"
"127","3.5862","3.5862","3.5862"
"128","3.5891","3.5891","3.5891"
"129","3.5891","3.5891","3.5891"
"130","3.6703","3.6703","3.6703"
"131","3.6703","3.6703","3.6703"
"132","3.5333","3.5333","3.5333"
"133","3.5333","3.5333","3.5333"
"134","3.8889","3.8889","3.8889"
"135","3.8889","3.8889","3.8889"
"136","3.6901","3.6901","3.6901"
"137","3.6901","3.6901","3.6901"
"138","3.4443","3.4443","3.4443"
"139","3.4443","3.4443","3.4443"
"140","3.587","3.587","3.587"
"141","3.587","3.587","3.587"
"142","3.7703","3.7703","3.7703"
"143","3.7703","3.7703","3.7703"
"144","3.869","3.869","3.869"
"145","3.869","3.869","3.869"
"146","3.4779","3.4779","3.4779"
"147","3.4779","3.4779","3.4779"
"148","3.9389","3.9389","3.9389"
"149","3.9389","3.9389","3.9389"
"150","3.3565","3.3565","3.3565"
"151","3.3565","3.3565","3.3565"
"152","3.294","3.294","3.294"
"153","3.294","3.294","3.294"
"154","3.773","3.773","3.773"
"155","3.773","3.773","3.773"
"156","3.5296","3.5296","3.5296"
"157","3.5296","3.5296","3.5296"
"158","3.3687","3.3687","3.3687"
"159","3.3687","3.3687","3.3687"
"160","3.4963","3.4963","3.4963"
"161","3.4963","3.4963","3.4963"
"162","3.7213","3.7213","3.7213"
"163","3.7213","3.7213","3.7213"
"164","3.6471","3.6471","3.6471"
"165","3.6471","3.6471","3.6471"
"166","3.4209","3.4209","3.4209"
"167","3.4209","3.4209","3.4209"
"168","3.2974","3.2974","3.2974"
"169","3.2974","3.2974","3.2974"
"170","3.4912","3.4912","3.4912"
"171","3.4912","3.4912","3.4912"
"172","3.7418","3.7418","3.7418"
"173","3.7418","3.7418","3.7418"
"174","3.4769","3.4769","3.4769"
"175","3.4769","3.4769","3.4769"
"176","3.5153","3.5153","3.5153"
"177","3.5153","3.5153","3.5153"
"178","3.3255","3.3255","3.3255"
"179","3.3255","3.3255","3.3255"
"180","3.2302","3.2302","3.2302"
"181","3.2302","3.2302","3.2302"
"182","3.5263","3.5263","3.5263"
"183","3.5263","3.5263","3.5263"
"184","3.6655","3.6655","3.6655"
"185","3.6655","3.6655","3.6655"
"186","3.6801","3.6801","3.6801"
"187","3.6801","3.6801","3.6801"
"188","3.4801","3.4801","3.4801"
"189","3.4801","3.4801","3.4801"
"190","3.3109","3.3109","3.3109"
"191","3.3109","3.3109","3.3109"
"192","3.6181","3.6181","3.6181"
"193","3.6181","3.6181","3.6181"
"194","3.5418","3.5418","3.5418"
"195","3.5418","3.5418","3.5418"
"196","3.1786","3.1786","3.1786"
"197","3.1786","3.1786","3.1786"
"198","3.5011","3.5011","3.5011"
"199","3.5011","3.5011","3.5011"
"200","3.7351","3.7351","3.7351"
"201","3.7351","3.7351","3.7351"
"202","3.6624","3.6624","3.6624"
"203","3.6624","3.6624","3.6624"
"204","3.2065","3.2065","3.2065"
"205","3.2065","3.2065","3.2065"
"206","3.8055","3.8055","3.8055"
"207","3.8055","3.8055","3.8055"
"208","3.7325","3.7325","3.7325"
"209","3.7325","3.7325","3.7325"
"210","3.5662","3.5662","3.5662"
"211","3.5662","3.5662","3.5662"
"212","3.4441","3.4441","3.4441"
"213","3.4441","3.4441","3.4441"
"214","3.5058","3.5058","3.5058"
"215","3.5058","3.5058","3.5058"
"216","3.5917","3.5917","3.5917"
"217","3.5917","3.5917","3.5917"
"218","3.2737","3.2737","3.2737"
"219","3.2737","3.2737","3.2737"
"220","3.3943","3.3943","3.3943"
"221","3.3943","3.3943","3.3943"
"222","3.4129","3.4129","3.4129"
"223","3.4129","3.4129","3.4129"
"224","3.5824","3.5824","3.5824"
"225","3.5824","3.5824","3.5824"
"226","3.7164","3.7164","3.7164"
"227","3.7164","3.7164","3.7164"
"228","3.3663","3.3663","3.3663"
"229","3.3663","3.3663","3.3663"
"230","3.4728","3.4728","3.4728"
"231","3.4728","3.4728","3.4728"
"232","3.2807","3.2807","3.2807"
"233","3.2807","3.2807","3.2807"
"234","3.3744","3.3744","3.3744"
"235","3.3744","3.3744","3.3744"
"236","3.3719","3.3719","3.3719"
"237","3.3719","3.3719","3.3719"
"238","3.2333","3.2333","3.2333"
"239","3.2333","3.2333","3.2333"
"240","3.3302","3.3302","3.3302"
"241","3.3302","3.3302","3.3302"
"242","3.7438","3.7438","3.7438"
"243","3.7438","3.7438","3.7438"
"244","3.7386","3.7386","3.7386"
"245","3.7386","3.7386","3.7386"
"246","3.6112","3.6112","3.6112"
"247","3.6112","3.6112","3.6112"
"248","3.0859","3.0859","3.0859"
"249","3.0859","3.0859","3.0859"
"250","3.1501","3.1501","3.1501"
"251","3.1501","3.1501","3.1501"
"252","3.6822","3.6822","3.6822"
"253","3.6822","3.6822","3.6822"
"254","3.3444","3.3444","3.3444"
"255","3.3444","3.3444","3.3444"
"256","3.5544","3.5544","3.5544"
"257","3.5544","3.5544","3.5544"
"258","3.5782","3.5782","3.5782"
"259","3.5782","3.5782","3.5782"
"260","3.2405","3.2405","3.2405"
"261","3.2405","3.2405","3.2405"
"262","3.483","3.483","3.483"
"263","3.483","3.483","3.483"
"264","3.2827","3.2827","3.2827"
"265","3.2827","3.2827","3.2827"
"266","3.4055","3.4055","3.4055"
"267","3.4055","3.4055","3.4055"
"268","3.2918","3.2918","3.2918"
"269","3.2918","3.2918","3.2918"
"270","3.3712","3.3712","3.3712"
"271","3.3712","3.3712","3.3712"
"272","3.0646","3.0646","3.0646"
"273","3.0646","3.0646","3.0646"
"274","3.5886","3.5886","3.5886"
"275","3.5886","3.5886","3.5886"
"276","3.2073","3.2073","3.2073"
"277","3.2073","3.2073","3.2073"
"278","3.3177","3.3177","3.3177"
"279","3.3177","3.3177","3.3177"
"280","3.4678","3.4678","3.4678"
"281","3.4678","3.4678","3.4678"
"282","3.2999","3.2999","3.2999"
"283","3.2999","3.2999","3.2999"
"284","3.1296","3.1296","3.1296"
"285","3.1296","3.1296","3.1296"
"286","3.3935","3.3935","3.3935"
"287","3.3935","3.3935","3.3935"
"288","3.4235","3.4235","3.4235"
"289","3.4235","3.4235","3.4235"
"290","3.3132","3.3132","3.3132"
"291","3.3132","3.3132","3.3132"
"292","3.2744","3.2744","3.2744"
"293","3.2744","3.2744","3.2744"
"294","3.252","3.252","3.252"
"295","3.252","3.252","3.252"
"296","3.2929","3.2929","3.2929"
"297","3.2929","3.2929","3.2929"
"298","3.2299","3.2299","3.2299"
"299","3.2299","3.2299","3.2299"
"300","3.3715","3.3715","3.3715"
"301","3.3715","3.3715","3.3715"
"302","3.2408","3.2408","3.2408"
"303","3.2408","3.2408","3.2408"
"304","3.3398","3.3398","3.3398"
"305","3.3398","3.3398","3.3398"
"306","3.1318","3.1318","3.1318"
"307","3.1318","3.1318","3.1318"
"308","3.3483","3.3483","3.3483"
"309","3.3483","3.3483","3.3483"
"310","3.3953","3.3953","3.3953"
"311","3.3953","3.3953","3.3953"
"312","3.1711","3.1711","3.1711"
"313","3.1711","3.1711","3.1711"
"314","3.4606","3.4606","3.4606"
"315","3.4606","3.4606","3.4606"
"316","3.2188","3.2188","3.2188"
"317","3.2188","3.2188","3.2188"
"318","3.1704","3.1704","3.1704"
"319","3.1704","3.1704","3.1704"
"320","3.2312","3.2312","3.2312"
"321","3.2312","3.2312","3.2312"
"322","3.2627","3.2627","3.2627"
"323","3.2627","3.2627","3.2627"
"324","3.2132","3.2132","3.2132"
"325","3.2132","3.2132","3.2132"
"326","3.2027","3.2027","3.2027"
"327","3.2027","3.2027","3.2027"
"328","3.3455","3.3455","3.3455"
"329","3.3455","3.3455","3.3455"
"330","3.4893","3.4893","3.4893"
"331","3.4893","3.4893","3.4893"
"332","3.5191","3.5191","3.5191"
"333","3.5191","3.5191","3.5191"
"334","3.3357","3.3357","3.3357"
"335","3.3357","3.3357","3.3357"
"336","3.0418","3.0418","3.0418"
"337","3.0418","3.0418","3.0418"
"338","3.3721","3.3721","3.3721"
"339","3.3721","3.3721","3.3721"
"340","3.1877","3.1877","3.1877"
"341","3.1877","3.1877","3.1877"
"342","3.0608","3.0608","3.0608"
"343","3.0608","3.0608","3.0608"
"344","3.4256","3.4256","3.4256"
"345","3.4256","3.4256","3.4256"
"346","3.2865","3.2865","3.2865"
"347","3.2865","3.2865","3.2865"
"348","3.0397","3.0397","3.0397"
"349","3.0397","3.0397","3.0397"
"350","3.1325","3.1325","3.1325"
"351","3.1325","3.1325","3.1325"
"352","2.6636","2.6636","2.6636"
"353","2.6636","2.6636","2.6636"
"354","2.9379","2.9379","2.9379"
"355","2.9379","2.9379","2.9379"
"356","3.2141","3.2141","3.2141"
"357","3.2141","3.2141","3.2141"
"358","2.7643","2.7643","2.7643"
"359","2.7643","2.7643","2.7643"
"360","3.0258","3.0258","3.0258"
"361","3.0258","3.0258","3.0258"
"362","3.3883","3.3883","3.3883"
"363","3.3883","3.3883","3.3883"
"364","2.9472","2.9472","2.9472"
"365","2.9472","2.9472","2.9472"
"366","2.7418","2.7418","2.7418"
"367","2.7418","2.7418","2.7418"
"368","2.9427","2.9427","2.9427"
"369","2.9427","2.9427","2.9427"
"370","2.7639","2.7639","2.7639"
"371","2.7639","2.7639","2.7639"
"372","2.991","2.991","2.991"
"373","2.991","2.991","2.991"
"374","2.9721","2.9721","2.9721"
"375","2.9721","2.9721","2.9721"
"376","2.8029","2.8029","2.8029"
"377","2.8029","2.8029","2.8029"
"378","2.9493","2.9493","2.9493"
"379","2.9493","2.9493","2.9493"
"380","2.8759","2.8759","2.8759"
"381","2.8759","2.8759","2.8759"
"382","2.8687","2.8687","2.8687"
"383","2.8687","2.8687","2.8687"
"384","2.8284","2.8284","2.8284"
"385","2.8284","2.8284","2.8284"
"386","3.0128","3.0128","3.0128"
"387","3.0128","3.0128","3.0128"
"388","3.0855","3.0855","3.0855"
"389","3.0855","3.0855","3.0855"
"390","3.0443","3.0443","3.0443"
"391","3.0443","3.0443","3.0443"
"392","2.7991","2.7991","2.7991"
"393","2.7991","2.7991","2.7991"
"394","2.9672","2.9672","2.9672"
"395","2.9672","2.9672","2.9672"
"396","2.6326","2.6326","2.6326"
"397","2.6326","2.6326","2.6326"
"398","2.8601","2.8601","2.8601"
"399","2.8601","2.8601","2.8601"
"400","2.7828","2.7828","2.7828"
"401","2.7828","2.7828","2.7828"
"402","2.7833","2.7833","2.7833"
"403","2.7833","2.7833","2.7833"
"404","3.1775","3.1775","3.1775"
"405","3.1775","3.1775","3.1775"
"406","2.9302","2.9302","2.9302"
"407","2.9302","2.9302","2.9302"
"408","2.6007","2.6007","2.6007"
"409","2.6007","2.6007","2.6007"
"410","2.7405","2.7405","2.7405"
"411","2.7405","2.7405","2.7405"
"412","2.8935","2.8935","2.8935"
"413","2.8935","2.8935","2.8935"
"414","2.7078","2.7078","2.7078"
"415","2.7078","2.7078","2.7078"
"416","2.4942","2.4942","2.4942"
"417","2.4942","2.4942","2.4942"
"418","3.0721","3.0721","3.0721"
"419","3.0721","3.0721","3.0721"
"420","2.7985","2.7985","2.7985"
"421","2.7985","2.7985","2.7985"
"422","2.9934","2.9934","2.9934"
"423","2.9934","2.9934","2.9934"
"424","2.9165","2.9165","2.9165"
"425","2.9165","2.9165","2.9165"
"426","2.7834","2.7834","2.7834"
"427","2.7834","2.7834","2.7834"
"428","2.5986","2.5986","2.5986"
"429","2.5986","2.5986","2.5986"
"430","2.5592","2.5592","2.5592"
"431","2.5592","2.5592","2.5592"
"432","2.8115","2.8115","2.8115"
"433","2.8115","2.8115","2.8115"
"434","2.9324","2.9324","2.9324"
"435","2.9324","2.9324","2.9324"
"436","2.9142","2.9142","2.9142"
"437","2.9142","2.9142","2.9142"
"438","2.638","2.638","2.638"
"439","2.638","2.638","2.638"
"440","2.6584","2.6584","2.6584"
"441","2.6584","2.6584","2.6584"
"442","2.9641","2.9641","2.9641"
"443","2.9641","2.9641","2.9641"
"444","2.7458","2.7458","2.7458"
"445","2.7458","2.7458","2.7458"
"446","2.4475","2.4475","2.4475"
"447","2.4475","2.4475","2.4475"
"448","2.4353","2.4353","2.4353"
"449","2.4353","2.4353","2.4353"
"450","2.4673","2.4673","2.4673"
"451","2.4673","2.4673","2.4673"
"452","2.5181","2.5181","2.5181"
"453","2.5181","2.5181","2.5181"
"454","2.7691","2.7691","2.7691"
"455","2.7691","2.7691","2.7691"
"456","2.6821","2.6821","2.6821"
"457","2.6821","2.6821","2.6821"
"458","2.6724","2.6724","2.6724"
"459","2.6724","2.6724","2.6724"
"460","2.8233","2.8233","2.8233"
"461","2.8233","2.8233","2.8233"
"462","2.702","2.702","2.702"
"463","2.702","2.702","2.702"
"464","2.7501","2.7501","2.7501"
"465","2.7501","2.7501","2.7501"
"466","2.3965","2.3965","2.3965"
"467","2.3965","2.3965","2.3965"
"468","2.7009","2.7009","2.7009"
"469","2.7009","2.7009","2.7009"
"470","2.6888","2.6888","2.6888"
"471","2.6888","2.6888","2.6888"
"472","2.8244","2.8244","2.8244"
"473","2.8244","2.8244","2.8244"
"474","2.5068","2.5068","2.5068"
"475","2.5068","2.5068","2.5068"
"476","2.6058","2.6058","2.6058"
"477","2.6058","2.6058","2.6058"
"478","2.9038","2.9038","2.9038"
"479","2.9038","2.9038","2.9038"
"480","2.5724","2.5724","2.5724"
"481","2.5724","2.5724","2.5724"
"482","2.6444","2.6444","2.6444"
"483","2.6444","2.6444","2.6444"
"484","2.8291","2.8291","2.8291"
"485","2.8291","2.8291","2.8291"
"486","2.3183","2.3183","2.3183"
"487","2.3183","2.3183","2.3183"
"488","2.7458","2.7458","2.7458"
"489","2.7458","2.7458","2.7458"
"490","2.949","2.949","2.949"
"491","2.949","2.949","2.949"
"492","2.5758","2.5758","2.5758"
"493","2.5758","2.5758","2.5758"
"494","2.7148","2.7148","2.7148"
"495","2.7148","2.7148","2.7148"
"496","2.4146","2.4146","2.4146"
"497","2.4146","2.4146","2.4146"
"498","2.6505","2.6505","2.6505"
"499","2.6505","2.6505","2.6505"
"500","2.7352","2.7352","2.7352"
"501","2.7352","2.7352","2.7352"
"502","2.6334","2.6334","2.6334"
"503","2.6334","2.6334","2.6334"
"504","2.7703","2.7703","2.7703"
"505","2.7703","2.7703","2.7703"
"506","2.6396","2.6396","2.6396"
"507","2.6396","2.6396","2.6396"
"508","2.5904","2.5904","2.5904"
"509","2.5904","2.5904","2.5904"
"510","2.7748","2.7748","2.7748"
"511","2.7748","2.7748","2.7748"
"512","2.6386","2.6386","2.6386"
"513","2.6386","2.6386","2.6386"
"514","2.6778","2.6778","2.6778"
"515","2.6778","2.6778","2.6778"
"516","2.772","2.772","2.772"
"517","2.772","2.772","2.772"
"518","2.1933","2.1933","2.1933"
"519","2.1933","2.1933","2.1933"
"520","2.5603","2.5603","2.5603"
"521","2.5603","2.5603","2.5603"
"522","2.5737","2.5737","2.5737"
"523","2.5737","2.5737","2.5737"
"524","2.6373","2.6373","2.6373"
"525","2.6373","2.6373","2.6373"
"526","2.4697","2.4697","2.4697"
"527","2.4697","2.4697","2.4697"
"528","2.7162","2.7162","2.7162"
"529","2.7162","2.7162","2.7162"
"530","2.4398","2.4398","2.4398"
"531","2.4398","2.4398","2.4398"
"532","2.4188","2.4188","2.4188"
"533","2.4188","2.4188","2.4188"
"534","2.4874","2.4874","2.4874"
"535","2.4874","2.4874","2.4874"
"536","2.5458","2.5458","2.5458"
"537","2.5458","2.5458","2.5458"
"538","2.4479","2.4479","2.4479"
"539","2.4479","2.4479","2.4479"
"540","2.5717","2.5717","2.5717"
"541","2.5717","2.5717","2.5717"
"542","2.5874","2.5874","2.5874"
"543","2.5874","2.5874","2.5874"
"544","2.5177","2.5177","2.5177"
"545","2.5177","2.5177","2.5177"
"546","2.5901","2.5901","2.5901"
"547","2.5901","2.5901","2.5901"
"548","2.7382","2.7382","2.7382"
"549","2.7382","2.7382","2.7382"
"550","2.43","2.43","2.43"
"551","2.43","2.43","2.43"
"552","2.5325","2.5325","2.5325"
"553","2.5325","2.5325","2.5325"
"554","2.45","2.45","2.45"
"555","2.45","2.45","2.45"
"556","2.0187","2.0187","2.0187"
"557","2.0187","2.0187","2.0187"
"558","2.6414","2.6414","2.6414"
"559","2.6414","2.6414","2.6414"
"560","2.3878","2.3878","2.3878"
"561","2.3878","2.3878","2.3878"
"562","2.55","2.55","2.55"
"563","2.55","2.55","2.55"
"564","2.2239","2.2239","2.2239"
"565","2.2239","2.2239","2.2239"
"566","2.4973","2.4973","2.4973"
"567","2.4973","2.4973","2.4973"
"568","2.4266","2.4266","2.4266"
"569","2.4266","2.4266","2.4266"
"570","2.5746","2.5746","2.5746"
"571","2.5746","2.5746","2.5746"
"572","2.3059","2.3059","2.3059"
"573","2.3059","2.3059","2.3059"
"574","2.2044","2.2044","2.2044"
"575","2.2044","2.2044","2.2044"
"576","2.542","2.542","2.542"
"577","2.542","2.542","2.542"
"578","2.479","2.479","2.479"
"579","2.479","2.479","2.479"
"580","2.3521","2.3521","2.3521"
"581","2.3521","2.3521","2.3521"
"582","2.5696","2.5696","2.5696"
"583","2.5696","2.5696","2.5696"
"584","2.27","2.27","2.27"
"585","2.27","2.27","2.27"
"586","2.1988","2.1988","2.1988"
"587","2.1988","2.1988","2.1988"
"588","2.5187","2.5187","2.5187"
"589","2.5187","2.5187","2.5187"
"590","2.2259","2.2259","2.2259"
"591","2.2259","2.2259","2.2259"
"592","2.3597","2.3597","2.3597"
"593","2.3597","2.3597","2.3597"
"594","2.453","2.453","2.453"
"595","2.453","2.453","2.453"
"596","2.3607","2.3607","2.3607"
"597","2.3607","2.3607","2.3607"
"598","2.6791","2.6791","2.6791"
"599","2.6791","2.6791","2.6791"
"600","2.4463","2.4463","2.4463"
"601","2.4463","2.4463","2.4463"
"602","2.198","2.198","2.198"
"603","2.198","2.198","2.198"
"604","2.5762","2.5762","2.5762"
"605","2.5762","2.5762","2.5762"
"606","2.5069","2.5069","2.5069"
"607","2.5069","2.5069","2.5069"
"608","2.509","2.509","2.509"
"609","2.509","2.509","2.509"
"610","2.2695","2.2695","2.2695"
"611","2.2695","2.2695","2.2695"
"612","2.3934","2.3934","2.3934"
"613","2.3934","2.3934","2.3934"
"614","2.506","2.506","2.506"
"615","2.506","2.506","2.506"
"616","2.4576","2.4576","2.4576"
"617","2.4576","2.4576","2.4576"
"618","2.2748","2.2748","2.2748"
"619","2.2748","2.2748","2.2748"
"620","2.6215","2.6215","2.6215"
"621","2.6215","2.6215","2.6215"
"622","2.3804","2.3804","2.3804"
"623","2.3804","2.3804","2.3804"
"624","2.5122","2.5122","2.5122"
"625","2.5122","2.5122","2.5122"
"626","2.2161","2.2161","2.2161"
"627","2.2161","2.2161","2.2161"
"628","2.3217","2.3217","2.3217"
"629","2.3217","2.3217","2.3217"
"630","2.097","2.097","2.097"
"631","2.097","2.097","2.097"
"632","2.213","2.213","2.213"
"633","2.213","2.213","2.213"
"634","2.2778","2.2778","2.2778"
"635","2.2778","2.2778","2.2778"
"636","2.5325","2.5325","2.5325"
"637","2.5325","2.5325","2.5325"
"638","2.351","2.351","2.351"
"639","2.351","2.351","2.351"
"640","2.3148","2.3148","2.3148"
"641","2.3148","2.3148","2.3148"
"642","2.5083","2.5083","2.5083"
"643","2.5083","2.5083","2.5083"
"644","2.5485","2.5485","2.5485"
"645","2.5485","2.5485","2.5485"
"646","2.4309","2.4309","2.4309"
"647","2.4309","2.4309","2.4309"
"648","2.0018","2.0018","2.0018"
"649","2.0018","2.0018","2.0018"
"650","2.4627","2.4627","2.4627"
"651","2.4627","2.4627","2.4627"
"652","2.4991","2.4991","2.4991"
"653","2.4991","2.4991","2.4991"
"654","2.5547","2.5547","2.5547"
"655","2.5547","2.5547","2.5547"
"656","2.2074","2.2074","2.2074"
"657","2.2074","2.2074","2.2074"
"658","2.3936","2.3936","2.3936"
"659","2.3936","2.3936","2.3936"
"660","2.2938","2.2938","2.2938"
"661","2.2938","2.2938","2.2938"
"662","2.4524","2.4524","2.4524"
"663","2.4524","2.4524","2.4524"
"664","2.2383","2.2383","2.2383"
"665","2.2383","2.2383","2.2383"
"666","2.0177","2.0177","2.0177"
"667","2.0177","2.0177","2.0177"
"668","2.2277","2.2277","2.2277"
"669","2.2277","2.2277","2.2277"
"670","2.2324","2.2324","2.2324"
"671","2.2324","2.2324","2.2324"
"672","2.3551","2.3551","2.3551"
"673","2.3551","2.3551","2.3551"
"674","2.5089","2.5089","2.5089"
"675","2.5089","2.5089","2.5089"
"676","2.7783","2.7783","2.7783"
"677","2.7783","2.7783","2.7783"
"678","2.3812","2.3812","2.3812"
"679","2.3812","2.3812","2.3812"
"680","2.2949","2.2949","2.2949"
"681","2.2949","2.2949","2.2949"
"682","2.5199","2.5199","2.5199"
"683","2.5199","2.5199","2.5199"
"684","2.4102","2.4102","2.4102"
"685","2.4102","2.4102","2.4102"
"686","2.2362","2.2362","2.2362"
"687","2.2362","2.2362","2.2362"
"688","2.435","2.435","2.435"
"689","2.435","2.435","2.435"
"690","2.1125","2.1125","2.1125"
"691","2.1125","2.1125","2.1125"
"692","1.9743","1.9743","1.9743"
"693","1.9743","1.9743","1.9743"
"694","2.1574","2.1574","2.1574"
"695","2.1574","2.1574","2.1574"
"696","2.4554","2.4554","2.4554"
"697","2.4554","2.4554","2.4554"
"698","2.2331","2.2331","2.2331"
"699","2.2331","2.2331","2.2331"
"700","2.4459","2.4459","2.4459"
"701","2.4459","2.4459","2.4459"
"702","2.1557","2.1557","2.1557"
"703","2.1557","2.1557","2.1557"
"704","2.04","2.04","2.04"
"705","2.04","2.04","2.04"
"706","2.2708","2.2708","2.2708"
"707","2.2708","2.2708","2.2708"
"708","2.095","2.095","2.095"
"709","2.095","2.095","2.095"
"710","2.1993","2.1993","2.1993"
"711","2.1993","2.1993","2.1993"
"712","2.3347","2.3347","2.3347"
"713","2.3347","2.3347","2.3347"
"714","2.4515","2.4515","2.4515"
"715","2.4515","2.4515","2.4515"
"716","2.4719","2.4719","2.4719"
"717","2.4719","2.4719","2.4719"
"718","2.2321","2.2321","2.2321"
"719","2.2321","2.2321","2.2321"
"720","2.0539","2.0539","2.0539"
"721","2.0539","2.0539","2.0539"
"722","2.2406","2.2406","2.2406"
"723","2.2406","2.2406","2.2406"
"724","2.071","2.071","2.071"
"725","2.071","2.071","2.071"
"726","2.0345","2.0345","2.0345"
"727","2.0345","2.0345","2.0345"
"728","2.0161","2.0161","2.0161"
"729","2.0161","2.0161","2.0161"
"730","2.5218","2.5218","2.5218"
"731","2.5218","2.5218","2.5218"
"732","2.0346","2.0346","2.0346"
"733","2.0346","2.0346","2.0346"
"734","2.3408","2.3408","2.3408"
"735","2.3408","2.3408","2.3408"
"736","2.1698","2.1698","2.1698"
"737","2.1698","2.1698","2.1698"
"738","2.3043","2.3043","2.3043"
"739","2.3043","2.3043","2.3043"
"740","2.0018","2.0018","2.0018"
