"Step","splendid-sunset-3 - train/loss","splendid-sunset-3 - train/loss__MIN","splendid-sunset-3 - train/loss__MAX"
"217","3.6535","3.6535","3.6535"
"218","3.306","3.306","3.306"
"219","3.306","3.306","3.306"
"220","3.3741","3.3741","3.3741"
"221","3.3741","3.3741","3.3741"
"222","3.4603","3.4603","3.4603"
"223","3.4603","3.4603","3.4603"
"224","3.7395","3.7395","3.7395"
"225","3.7395","3.7395","3.7395"
"226","3.7633","3.7633","3.7633"
"227","3.7633","3.7633","3.7633"
"228","3.3688","3.3688","3.3688"
"229","3.3688","3.3688","3.3688"
"230","3.5474","3.5474","3.5474"
"231","3.5474","3.5474","3.5474"
"232","3.3798","3.3798","3.3798"
"233","3.3798","3.3798","3.3798"
"234","3.4392","3.4392","3.4392"
"235","3.4392","3.4392","3.4392"
"236","3.4058","3.4058","3.4058"
"237","3.4058","3.4058","3.4058"
"238","3.1943","3.1943","3.1943"
"239","3.1943","3.1943","3.1943"
"240","3.3413","3.3413","3.3413"
"241","3.3413","3.3413","3.3413"
"242","3.7928","3.7928","3.7928"
"243","3.7928","3.7928","3.7928"
"244","3.8556","3.8556","3.8556"
"245","3.8556","3.8556","3.8556"
"246","3.5748","3.5748","3.5748"
"247","3.5748","3.5748","3.5748"
"248","3.1561","3.1561","3.1561"
"249","3.1561","3.1561","3.1561"
"250","3.2123","3.2123","3.2123"
"251","3.2123","3.2123","3.2123"
"252","3.7928","3.7928","3.7928"
"253","3.7928","3.7928","3.7928"
"254","3.523","3.523","3.523"
"255","3.523","3.523","3.523"
"256","3.663","3.663","3.663"
"257","3.663","3.663","3.663"
"258","3.558","3.558","3.558"
"259","3.558","3.558","3.558"
"260","3.325","3.325","3.325"
"261","3.325","3.325","3.325"
"262","3.5788","3.5788","3.5788"
"263","3.5788","3.5788","3.5788"
"264","3.2982","3.2982","3.2982"
"265","3.2982","3.2982","3.2982"
"266","3.4361","3.4361","3.4361"
"267","3.4361","3.4361","3.4361"
"268","3.3786","3.3786","3.3786"
"269","3.3786","3.3786","3.3786"
"270","3.4513","3.4513","3.4513"
"271","3.4513","3.4513","3.4513"
"272","3.169","3.169","3.169"
"273","3.169","3.169","3.169"
"274","3.585","3.585","3.585"
"275","3.585","3.585","3.585"
"276","3.2309","3.2309","3.2309"
"277","3.2309","3.2309","3.2309"
"278","3.3111","3.3111","3.3111"
"279","3.3111","3.3111","3.3111"
"280","3.5392","3.5392","3.5392"
"281","3.5392","3.5392","3.5392"
"282","3.3569","3.3569","3.3569"
"283","3.3569","3.3569","3.3569"
"284","3.176","3.176","3.176"
"285","3.176","3.176","3.176"
"286","3.422","3.422","3.422"
"287","3.422","3.422","3.422"
"288","3.427","3.427","3.427"
"289","3.427","3.427","3.427"
"290","3.3997","3.3997","3.3997"
"291","3.3997","3.3997","3.3997"
"292","3.3737","3.3737","3.3737"
"293","3.3737","3.3737","3.3737"
"294","3.2418","3.2418","3.2418"
"295","3.2418","3.2418","3.2418"
"296","3.3783","3.3783","3.3783"
"297","3.3783","3.3783","3.3783"
"298","3.2595","3.2595","3.2595"
"299","3.2595","3.2595","3.2595"
"300","3.4272","3.4272","3.4272"
"301","3.4272","3.4272","3.4272"
"302","3.3014","3.3014","3.3014"
"303","3.3014","3.3014","3.3014"
"304","3.4383","3.4383","3.4383"
"305","3.4383","3.4383","3.4383"
"306","3.2718","3.2718","3.2718"
"307","3.2718","3.2718","3.2718"
"308","3.4025","3.4025","3.4025"
"309","3.4025","3.4025","3.4025"
"310","3.4902","3.4902","3.4902"
"311","3.4902","3.4902","3.4902"
"312","3.224","3.224","3.224"
"313","3.224","3.224","3.224"
"314","3.4942","3.4942","3.4942"
"315","3.4942","3.4942","3.4942"
"316","3.2653","3.2653","3.2653"
"317","3.2653","3.2653","3.2653"
"318","3.2594","3.2594","3.2594"
"319","3.2594","3.2594","3.2594"
"320","3.2835","3.2835","3.2835"
"321","3.2835","3.2835","3.2835"
"322","3.3536","3.3536","3.3536"
"323","3.3536","3.3536","3.3536"
"324","3.3303","3.3303","3.3303"
"325","3.3303","3.3303","3.3303"
"326","3.2404","3.2404","3.2404"
"327","3.2404","3.2404","3.2404"
"328","3.4156","3.4156","3.4156"
"329","3.4156","3.4156","3.4156"
"330","3.5379","3.5379","3.5379"
"331","3.5379","3.5379","3.5379"
"332","3.6064","3.6064","3.6064"
"333","3.6064","3.6064","3.6064"
"334","3.4533","3.4533","3.4533"
"335","3.4533","3.4533","3.4533"
"336","3.1702","3.1702","3.1702"
"337","3.1702","3.1702","3.1702"
"338","3.5161","3.5161","3.5161"
"339","3.5161","3.5161","3.5161"
"340","3.3586","3.3586","3.3586"
"341","3.3586","3.3586","3.3586"
"342","3.1639","3.1639","3.1639"
"343","3.1639","3.1639","3.1639"
"344","3.4995","3.4995","3.4995"
"345","3.4995","3.4995","3.4995"
"346","3.4043","3.4043","3.4043"
"347","3.4043","3.4043","3.4043"
"348","3.2842","3.2842","3.2842"
"349","3.2842","3.2842","3.2842"
"350","3.2604","3.2604","3.2604"
"351","3.2604","3.2604","3.2604"
"352","2.7618","2.7618","2.7618"
"353","2.7618","2.7618","2.7618"
"354","3.1347","3.1347","3.1347"
"355","3.1347","3.1347","3.1347"
"356","3.467","3.467","3.467"
"357","3.467","3.467","3.467"
"358","3.0393","3.0393","3.0393"
"359","3.0393","3.0393","3.0393"
"360","3.2476","3.2476","3.2476"
"361","3.2476","3.2476","3.2476"
"362","3.6636","3.6636","3.6636"
"363","3.6636","3.6636","3.6636"
"364","3.2","3.2","3.2"
"365","3.2","3.2","3.2"
"366","3.0627","3.0627","3.0627"
"367","3.0627","3.0627","3.0627"
"368","3.2446","3.2446","3.2446"
"369","3.2446","3.2446","3.2446"
"370","3.0209","3.0209","3.0209"
"371","3.0209","3.0209","3.0209"
"372","3.2554","3.2554","3.2554"
"373","3.2554","3.2554","3.2554"
"374","3.3501","3.3501","3.3501"
"375","3.3501","3.3501","3.3501"
"376","3.0878","3.0878","3.0878"
"377","3.0878","3.0878","3.0878"
"378","3.2923","3.2923","3.2923"
"379","3.2923","3.2923","3.2923"
"380","3.1131","3.1131","3.1131"
"381","3.1131","3.1131","3.1131"
"382","3.3231","3.3231","3.3231"
"383","3.3231","3.3231","3.3231"
"384","3.1998","3.1998","3.1998"
"385","3.1998","3.1998","3.1998"
"386","3.3854","3.3854","3.3854"
"387","3.3854","3.3854","3.3854"
"388","3.3756","3.3756","3.3756"
"389","3.3756","3.3756","3.3756"
"390","3.5128","3.5128","3.5128"
"391","3.5128","3.5128","3.5128"
"392","3.3131","3.3131","3.3131"
"393","3.3131","3.3131","3.3131"
"394","3.2767","3.2767","3.2767"
"395","3.2767","3.2767","3.2767"
"396","2.9484","2.9484","2.9484"
"397","2.9484","2.9484","2.9484"
"398","3.38","3.38","3.38"
"399","3.38","3.38","3.38"
"400","3.1216","3.1216","3.1216"
"401","3.1216","3.1216","3.1216"
"402","3.1903","3.1903","3.1903"
"403","3.1903","3.1903","3.1903"
"404","3.6234","3.6234","3.6234"
"405","3.6234","3.6234","3.6234"
"406","3.441","3.441","3.441"
"407","3.441","3.441","3.441"
"408","3.1892","3.1892","3.1892"
"409","3.1892","3.1892","3.1892"
"410","2.9349","2.9349","2.9349"
"411","2.9349","2.9349","2.9349"
"412","3.3096","3.3096","3.3096"
"413","3.3096","3.3096","3.3096"
"414","3.1771","3.1771","3.1771"
"415","3.1771","3.1771","3.1771"
"416","2.949","2.949","2.949"
"417","2.949","2.949","2.949"
"418","3.5062","3.5062","3.5062"
"419","3.5062","3.5062","3.5062"
"420","3.066","3.066","3.066"
"421","3.066","3.066","3.066"
"422","3.3927","3.3927","3.3927"
"423","3.3927","3.3927","3.3927"
"424","3.237","3.237","3.237"
"425","3.237","3.237","3.237"
"426","3.412","3.412","3.412"
"427","3.412","3.412","3.412"
"428","3.1517","3.1517","3.1517"
"429","3.1517","3.1517","3.1517"
"430","3.0678","3.0678","3.0678"
"431","3.0678","3.0678","3.0678"
"432","3.2922","3.2922","3.2922"
"433","3.2922","3.2922","3.2922"
"434","3.3542","3.3542","3.3542"
"435","3.3542","3.3542","3.3542"
"436","3.3524","3.3524","3.3524"
"437","3.3524","3.3524","3.3524"
"438","3.0871","3.0871","3.0871"
"439","3.0871","3.0871","3.0871"
"440","3.2069","3.2069","3.2069"
"441","3.2069","3.2069","3.2069"
"442","3.3689","3.3689","3.3689"
"443","3.3689","3.3689","3.3689"
"444","3.3476","3.3476","3.3476"
"445","3.3476","3.3476","3.3476"
"446","3.04","3.04","3.04"
"447","3.04","3.04","3.04"
"448","3.0079","3.0079","3.0079"
"449","3.0079","3.0079","3.0079"
"450","2.9668","2.9668","2.9668"
"451","2.9668","2.9668","2.9668"
"452","2.9426","2.9426","2.9426"
"453","2.9426","2.9426","2.9426"
"454","3.287","3.287","3.287"
"455","3.287","3.287","3.287"
"456","3.1458","3.1458","3.1458"
"457","3.1458","3.1458","3.1458"
"458","3.2427","3.2427","3.2427"
"459","3.2427","3.2427","3.2427"
"460","3.375","3.375","3.375"
"461","3.375","3.375","3.375"
"462","3.143","3.143","3.143"
"463","3.143","3.143","3.143"
"464","3.175","3.175","3.175"
"465","3.175","3.175","3.175"
"466","3.0852","3.0852","3.0852"
"467","3.0852","3.0852","3.0852"
"468","3.2543","3.2543","3.2543"
"469","3.2543","3.2543","3.2543"
"470","3.2385","3.2385","3.2385"
"471","3.2385","3.2385","3.2385"
"472","3.3328","3.3328","3.3328"
"473","3.3328","3.3328","3.3328"
"474","2.931","2.931","2.931"
"475","2.931","2.931","2.931"
"476","3.0946","3.0946","3.0946"
"477","3.0946","3.0946","3.0946"
"478","3.4209","3.4209","3.4209"
"479","3.4209","3.4209","3.4209"
"480","3.2692","3.2692","3.2692"
"481","3.2692","3.2692","3.2692"
"482","3.0411","3.0411","3.0411"
"483","3.0411","3.0411","3.0411"
"484","3.465","3.465","3.465"
"485","3.465","3.465","3.465"
"486","2.889","2.889","2.889"
"487","2.889","2.889","2.889"
"488","3.1874","3.1874","3.1874"
"489","3.1874","3.1874","3.1874"
"490","3.3531","3.3531","3.3531"
"491","3.3531","3.3531","3.3531"
"492","2.973","2.973","2.973"
"493","2.973","2.973","2.973"
"494","3.2339","3.2339","3.2339"
"495","3.2339","3.2339","3.2339"
"496","2.9264","2.9264","2.9264"
"497","2.9264","2.9264","2.9264"
"498","3.0826","3.0826","3.0826"
"499","3.0826","3.0826","3.0826"
"500","3.2282","3.2282","3.2282"
"501","3.2282","3.2282","3.2282"
"502","2.9634","2.9634","2.9634"
"503","2.9634","2.9634","2.9634"
"504","3.1862","3.1862","3.1862"
"505","3.1862","3.1862","3.1862"
"506","3.0368","3.0368","3.0368"
"507","3.0368","3.0368","3.0368"
"508","3.0541","3.0541","3.0541"
"509","3.0541","3.0541","3.0541"
"510","3.1912","3.1912","3.1912"
"511","3.1912","3.1912","3.1912"
"512","3.0836","3.0836","3.0836"
"513","3.0836","3.0836","3.0836"
"514","3.0968","3.0968","3.0968"
"515","3.0968","3.0968","3.0968"
"516","3.2493","3.2493","3.2493"
"517","3.2493","3.2493","3.2493"
"518","2.7272","2.7272","2.7272"
"519","2.7272","2.7272","2.7272"
"520","3.1077","3.1077","3.1077"
"521","3.1077","3.1077","3.1077"
"522","2.9874","2.9874","2.9874"
"523","2.9874","2.9874","2.9874"
"524","3.2237","3.2237","3.2237"
"525","3.2237","3.2237","3.2237"
"526","2.8951","2.8951","2.8951"
"527","2.8951","2.8951","2.8951"
"528","3.0012","3.0012","3.0012"
"529","3.0012","3.0012","3.0012"
"530","2.8173","2.8173","2.8173"
"531","2.8173","2.8173","2.8173"
"532","2.8119","2.8119","2.8119"
"533","2.8119","2.8119","2.8119"
"534","2.8361","2.8361","2.8361"
"535","2.8361","2.8361","2.8361"
"536","2.9419","2.9419","2.9419"
"537","2.9419","2.9419","2.9419"
"538","2.8913","2.8913","2.8913"
"539","2.8913","2.8913","2.8913"
"540","2.9571","2.9571","2.9571"
"541","2.9571","2.9571","2.9571"
"542","3.0271","3.0271","3.0271"
"543","3.0271","3.0271","3.0271"
"544","2.921","2.921","2.921"
"545","2.921","2.921","2.921"
"546","2.89","2.89","2.89"
"547","2.89","2.89","2.89"
"548","3.1885","3.1885","3.1885"
"549","3.1885","3.1885","3.1885"
"550","2.8377","2.8377","2.8377"
"551","2.8377","2.8377","2.8377"
"552","2.7382","2.7382","2.7382"
"553","2.7382","2.7382","2.7382"
"554","2.8374","2.8374","2.8374"
"555","2.8374","2.8374","2.8374"
"556","2.2555","2.2555","2.2555"
"557","2.2555","2.2555","2.2555"
"558","2.8668","2.8668","2.8668"
"559","2.8668","2.8668","2.8668"
"560","2.7655","2.7655","2.7655"
"561","2.7655","2.7655","2.7655"
"562","2.8226","2.8226","2.8226"
"563","2.8226","2.8226","2.8226"
"564","2.5356","2.5356","2.5356"
"565","2.5356","2.5356","2.5356"
"566","2.7584","2.7584","2.7584"
"567","2.7584","2.7584","2.7584"
"568","2.7022","2.7022","2.7022"
"569","2.7022","2.7022","2.7022"
"570","2.7808","2.7808","2.7808"
"571","2.7808","2.7808","2.7808"
"572","2.6143","2.6143","2.6143"
"573","2.6143","2.6143","2.6143"
"574","2.427","2.427","2.427"
"575","2.427","2.427","2.427"
"576","2.7182","2.7182","2.7182"
"577","2.7182","2.7182","2.7182"
"578","2.8525","2.8525","2.8525"
"579","2.8525","2.8525","2.8525"
"580","2.5606","2.5606","2.5606"
"581","2.5606","2.5606","2.5606"
"582","2.7973","2.7973","2.7973"
"583","2.7973","2.7973","2.7973"
"584","2.5501","2.5501","2.5501"
"585","2.5501","2.5501","2.5501"
"586","2.4919","2.4919","2.4919"
"587","2.4919","2.4919","2.4919"
"588","2.7411","2.7411","2.7411"
"589","2.7411","2.7411","2.7411"
"590","2.5557","2.5557","2.5557"
"591","2.5557","2.5557","2.5557"
"592","2.7029","2.7029","2.7029"
"593","2.7029","2.7029","2.7029"
"594","2.6679","2.6679","2.6679"
"595","2.6679","2.6679","2.6679"
"596","2.5135","2.5135","2.5135"
"597","2.5135","2.5135","2.5135"
"598","2.9536","2.9536","2.9536"
"599","2.9536","2.9536","2.9536"
"600","2.7993","2.7993","2.7993"
"601","2.7993","2.7993","2.7993"
"602","2.4488","2.4488","2.4488"
"603","2.4488","2.4488","2.4488"
"604","2.7298","2.7298","2.7298"
"605","2.7298","2.7298","2.7298"
"606","2.8781","2.8781","2.8781"
"607","2.8781","2.8781","2.8781"
"608","2.7776","2.7776","2.7776"
"609","2.7776","2.7776","2.7776"
"610","2.5552","2.5552","2.5552"
"611","2.5552","2.5552","2.5552"
"612","2.5608","2.5608","2.5608"
"613","2.5608","2.5608","2.5608"
"614","2.7621","2.7621","2.7621"
"615","2.7621","2.7621","2.7621"
"616","2.6429","2.6429","2.6429"
"617","2.6429","2.6429","2.6429"
"618","2.4713","2.4713","2.4713"
"619","2.4713","2.4713","2.4713"
"620","2.8225","2.8225","2.8225"
"621","2.8225","2.8225","2.8225"
"622","2.5614","2.5614","2.5614"
"623","2.5614","2.5614","2.5614"
"624","2.6428","2.6428","2.6428"
"625","2.6428","2.6428","2.6428"
"626","2.4839","2.4839","2.4839"
"627","2.4839","2.4839","2.4839"
"628","2.5824","2.5824","2.5824"
"629","2.5824","2.5824","2.5824"
"630","2.3222","2.3222","2.3222"
"631","2.3222","2.3222","2.3222"
"632","2.323","2.323","2.323"
"633","2.323","2.323","2.323"
"634","2.5045","2.5045","2.5045"
"635","2.5045","2.5045","2.5045"
"636","2.6232","2.6232","2.6232"
"637","2.6232","2.6232","2.6232"
"638","2.4486","2.4486","2.4486"
"639","2.4486","2.4486","2.4486"
"640","2.5728","2.5728","2.5728"
"641","2.5728","2.5728","2.5728"
"642","2.6609","2.6609","2.6609"
"643","2.6609","2.6609","2.6609"
"644","2.7476","2.7476","2.7476"
"645","2.7476","2.7476","2.7476"
"646","2.6116","2.6116","2.6116"
"647","2.6116","2.6116","2.6116"
"648","2.0849","2.0849","2.0849"
"649","2.0849","2.0849","2.0849"
"650","2.5996","2.5996","2.5996"
"651","2.5996","2.5996","2.5996"
"652","2.7556","2.7556","2.7556"
"653","2.7556","2.7556","2.7556"
"654","2.4893","2.4893","2.4893"
"655","2.4893","2.4893","2.4893"
"656","2.33","2.33","2.33"
"657","2.33","2.33","2.33"
"658","2.5665","2.5665","2.5665"
"659","2.5665","2.5665","2.5665"
"660","2.5687","2.5687","2.5687"
"661","2.5687","2.5687","2.5687"
"662","2.5954","2.5954","2.5954"
"663","2.5954","2.5954","2.5954"
"664","2.4589","2.4589","2.4589"
"665","2.4589","2.4589","2.4589"
"666","2.3161","2.3161","2.3161"
"667","2.3161","2.3161","2.3161"
"668","2.3778","2.3778","2.3778"
"669","2.3778","2.3778","2.3778"
"670","2.408","2.408","2.408"
"671","2.408","2.408","2.408"
"672","2.5296","2.5296","2.5296"
"673","2.5296","2.5296","2.5296"
"674","2.6104","2.6104","2.6104"
"675","2.6104","2.6104","2.6104"
"676","3.0351","3.0351","3.0351"
"677","3.0351","3.0351","3.0351"
"678","2.591","2.591","2.591"
"679","2.591","2.591","2.591"
"680","2.5327","2.5327","2.5327"
"681","2.5327","2.5327","2.5327"
"682","2.7084","2.7084","2.7084"
"683","2.7084","2.7084","2.7084"
"684","2.5331","2.5331","2.5331"
"685","2.5331","2.5331","2.5331"
"686","2.3876","2.3876","2.3876"
"687","2.3876","2.3876","2.3876"
"688","2.5633","2.5633","2.5633"
"689","2.5633","2.5633","2.5633"
"690","2.2403","2.2403","2.2403"
"691","2.2403","2.2403","2.2403"
"692","2.1263","2.1263","2.1263"
"693","2.1263","2.1263","2.1263"
"694","2.3132","2.3132","2.3132"
"695","2.3132","2.3132","2.3132"
"696","2.6393","2.6393","2.6393"
"697","2.6393","2.6393","2.6393"
"698","2.406","2.406","2.406"
"699","2.406","2.406","2.406"
"700","2.5093","2.5093","2.5093"
"701","2.5093","2.5093","2.5093"
"702","2.2666","2.2666","2.2666"
"703","2.2666","2.2666","2.2666"
"704","2.1931","2.1931","2.1931"
"705","2.1931","2.1931","2.1931"
"706","2.3565","2.3565","2.3565"
"707","2.3565","2.3565","2.3565"
"708","2.079","2.079","2.079"
"709","2.079","2.079","2.079"
"710","2.42","2.42","2.42"
"711","2.42","2.42","2.42"
"712","2.4813","2.4813","2.4813"
"713","2.4813","2.4813","2.4813"
"714","2.4936","2.4936","2.4936"
"715","2.4936","2.4936","2.4936"
"716","2.6695","2.6695","2.6695"
"717","2.6695","2.6695","2.6695"
"718","2.255","2.255","2.255"
"719","2.255","2.255","2.255"
"720","2.2444","2.2444","2.2444"
"721","2.2444","2.2444","2.2444"
"722","2.4569","2.4569","2.4569"
"723","2.4569","2.4569","2.4569"
"724","2.2798","2.2798","2.2798"
"725","2.2798","2.2798","2.2798"
"726","2.3159","2.3159","2.3159"
"727","2.3159","2.3159","2.3159"
"728","2.1479","2.1479","2.1479"
"729","2.1479","2.1479","2.1479"
"730","2.7435","2.7435","2.7435"
"731","2.7435","2.7435","2.7435"
"732","2.0884","2.0884","2.0884"
"733","2.0884","2.0884","2.0884"
"734","2.361","2.361","2.361"
"735","2.361","2.361","2.361"
"736","2.242","2.242","2.242"
"737","2.242","2.242","2.242"
"738","2.2613","2.2613","2.2613"
"739","2.2613","2.2613","2.2613"
"740","2.2161","2.2161","2.2161"
"741","2.2161","2.2161","2.2161"
"742","2.5241","2.5241","2.5241"
"743","2.5241","2.5241","2.5241"
