"Step","clean-durian-2 - train/loss","clean-durian-2 - train/loss__MIN","clean-durian-2 - train/loss__MAX"
"484","3.5171","3.5171","3.5171"
"485","3.5171","3.5171","3.5171"
"486","2.8936","2.8936","2.8936"
"487","2.8936","2.8936","2.8936"
"488","3.2673","3.2673","3.2673"
"489","3.2673","3.2673","3.2673"
"490","3.3327","3.3327","3.3327"
"491","3.3327","3.3327","3.3327"
"492","3.0152","3.0152","3.0152"
"493","3.0152","3.0152","3.0152"
"494","3.262","3.262","3.262"
"495","3.262","3.262","3.262"
"496","2.8623","2.8623","2.8623"
"497","2.8623","2.8623","2.8623"
"498","3.0996","3.0996","3.0996"
"499","3.0996","3.0996","3.0996"
"500","3.1667","3.1667","3.1667"
"501","3.1667","3.1667","3.1667"
"502","3.0589","3.0589","3.0589"
"503","3.0589","3.0589","3.0589"
"504","3.1689","3.1689","3.1689"
"505","3.1689","3.1689","3.1689"
"506","2.9858","2.9858","2.9858"
"507","2.9858","2.9858","2.9858"
"508","3.0777","3.0777","3.0777"
"509","3.0777","3.0777","3.0777"
"510","3.1742","3.1742","3.1742"
"511","3.1742","3.1742","3.1742"
"512","3.0059","3.0059","3.0059"
"513","3.0059","3.0059","3.0059"
"514","3.1137","3.1137","3.1137"
"515","3.1137","3.1137","3.1137"
"516","3.2771","3.2771","3.2771"
"517","3.2771","3.2771","3.2771"
"518","2.6943","2.6943","2.6943"
"519","2.6943","2.6943","2.6943"
"520","3.0065","3.0065","3.0065"
"521","3.0065","3.0065","3.0065"
"522","3.0097","3.0097","3.0097"
"523","3.0097","3.0097","3.0097"
"524","3.1332","3.1332","3.1332"
"525","3.1332","3.1332","3.1332"
"526","2.8334","2.8334","2.8334"
"527","2.8334","2.8334","2.8334"
"528","3.0744","3.0744","3.0744"
"529","3.0744","3.0744","3.0744"
"530","2.7778","2.7778","2.7778"
"531","2.7778","2.7778","2.7778"
"532","2.7642","2.7642","2.7642"
"533","2.7642","2.7642","2.7642"
"534","2.8685","2.8685","2.8685"
"535","2.8685","2.8685","2.8685"
"536","2.9978","2.9978","2.9978"
"537","2.9978","2.9978","2.9978"
"538","2.8343","2.8343","2.8343"
"539","2.8343","2.8343","2.8343"
"540","2.8917","2.8917","2.8917"
"541","2.8917","2.8917","2.8917"
"542","2.9389","2.9389","2.9389"
"543","2.9389","2.9389","2.9389"
"544","2.8726","2.8726","2.8726"
"545","2.8726","2.8726","2.8726"
"546","2.9173","2.9173","2.9173"
"547","2.9173","2.9173","2.9173"
"548","3.217","3.217","3.217"
"549","3.217","3.217","3.217"
"550","2.8935","2.8935","2.8935"
"551","2.8935","2.8935","2.8935"
"552","2.9029","2.9029","2.9029"
"553","2.9029","2.9029","2.9029"
"554","2.8577","2.8577","2.8577"
"555","2.8577","2.8577","2.8577"
"556","2.3533","2.3533","2.3533"
"557","2.3533","2.3533","2.3533"
"558","2.8768","2.8768","2.8768"
"559","2.8768","2.8768","2.8768"
"560","2.8816","2.8816","2.8816"
"561","2.8816","2.8816","2.8816"
"562","2.8442","2.8442","2.8442"
"563","2.8442","2.8442","2.8442"
"564","2.6266","2.6266","2.6266"
"565","2.6266","2.6266","2.6266"
"566","2.7391","2.7391","2.7391"
"567","2.7391","2.7391","2.7391"
"568","2.7832","2.7832","2.7832"
"569","2.7832","2.7832","2.7832"
"570","2.8461","2.8461","2.8461"
"571","2.8461","2.8461","2.8461"
"572","2.6853","2.6853","2.6853"
"573","2.6853","2.6853","2.6853"
"574","2.431","2.431","2.431"
"575","2.431","2.431","2.431"
"576","2.8252","2.8252","2.8252"
"577","2.8252","2.8252","2.8252"
"578","2.7726","2.7726","2.7726"
"579","2.7726","2.7726","2.7726"
"580","2.566","2.566","2.566"
"581","2.566","2.566","2.566"
"582","2.7609","2.7609","2.7609"
"583","2.7609","2.7609","2.7609"
"584","2.6215","2.6215","2.6215"
"585","2.6215","2.6215","2.6215"
"586","2.4207","2.4207","2.4207"
"587","2.4207","2.4207","2.4207"
"588","2.7971","2.7971","2.7971"
"589","2.7971","2.7971","2.7971"
"590","2.5174","2.5174","2.5174"
"591","2.5174","2.5174","2.5174"
"592","2.6755","2.6755","2.6755"
"593","2.6755","2.6755","2.6755"
"594","2.7945","2.7945","2.7945"
"595","2.7945","2.7945","2.7945"
"596","2.6373","2.6373","2.6373"
"597","2.6373","2.6373","2.6373"
"598","2.8976","2.8976","2.8976"
"599","2.8976","2.8976","2.8976"
"600","2.7663","2.7663","2.7663"
"601","2.7663","2.7663","2.7663"
"602","2.4796","2.4796","2.4796"
"603","2.4796","2.4796","2.4796"
"604","2.7734","2.7734","2.7734"
"605","2.7734","2.7734","2.7734"
"606","2.7555","2.7555","2.7555"
"607","2.7555","2.7555","2.7555"
"608","2.7482","2.7482","2.7482"
"609","2.7482","2.7482","2.7482"
"610","2.5315","2.5315","2.5315"
"611","2.5315","2.5315","2.5315"
"612","2.5315","2.5315","2.5315"
"613","2.5315","2.5315","2.5315"
"614","2.7413","2.7413","2.7413"
"615","2.7413","2.7413","2.7413"
"616","2.6827","2.6827","2.6827"
"617","2.6827","2.6827","2.6827"
"618","2.4322","2.4322","2.4322"
"619","2.4322","2.4322","2.4322"
"620","2.7596","2.7596","2.7596"
"621","2.7596","2.7596","2.7596"
"622","2.5791","2.5791","2.5791"
"623","2.5791","2.5791","2.5791"
"624","2.6145","2.6145","2.6145"
"625","2.6145","2.6145","2.6145"
"626","2.5625","2.5625","2.5625"
"627","2.5625","2.5625","2.5625"
"628","2.6655","2.6655","2.6655"
"629","2.6655","2.6655","2.6655"
"630","2.3184","2.3184","2.3184"
"631","2.3184","2.3184","2.3184"
"632","2.3194","2.3194","2.3194"
"633","2.3194","2.3194","2.3194"
"634","2.397","2.397","2.397"
"635","2.397","2.397","2.397"
"636","2.8498","2.8498","2.8498"
"637","2.8498","2.8498","2.8498"
"638","2.5374","2.5374","2.5374"
"639","2.5374","2.5374","2.5374"
"640","2.5499","2.5499","2.5499"
"641","2.5499","2.5499","2.5499"
"642","2.6944","2.6944","2.6944"
"643","2.6944","2.6944","2.6944"
"644","2.6486","2.6486","2.6486"
"645","2.6486","2.6486","2.6486"
"646","2.5854","2.5854","2.5854"
"647","2.5854","2.5854","2.5854"
"648","2.175","2.175","2.175"
"649","2.175","2.175","2.175"
"650","2.6947","2.6947","2.6947"
"651","2.6947","2.6947","2.6947"
"652","2.9124","2.9124","2.9124"
"653","2.9124","2.9124","2.9124"
"654","2.7229","2.7229","2.7229"
"655","2.7229","2.7229","2.7229"
"656","2.4224","2.4224","2.4224"
"657","2.4224","2.4224","2.4224"
"658","2.5496","2.5496","2.5496"
"659","2.5496","2.5496","2.5496"
"660","2.5998","2.5998","2.5998"
"661","2.5998","2.5998","2.5998"
"662","2.6486","2.6486","2.6486"
"663","2.6486","2.6486","2.6486"
"664","2.4599","2.4599","2.4599"
"665","2.4599","2.4599","2.4599"
"666","2.3718","2.3718","2.3718"
"667","2.3718","2.3718","2.3718"
"668","2.3446","2.3446","2.3446"
"669","2.3446","2.3446","2.3446"
"670","2.4479","2.4479","2.4479"
"671","2.4479","2.4479","2.4479"
"672","2.6566","2.6566","2.6566"
"673","2.6566","2.6566","2.6566"
"674","2.7391","2.7391","2.7391"
"675","2.7391","2.7391","2.7391"
"676","2.9967","2.9967","2.9967"
"677","2.9967","2.9967","2.9967"
"678","2.5559","2.5559","2.5559"
"679","2.5559","2.5559","2.5559"
"680","2.4665","2.4665","2.4665"
"681","2.4665","2.4665","2.4665"
"682","2.7362","2.7362","2.7362"
"683","2.7362","2.7362","2.7362"
"684","2.5664","2.5664","2.5664"
"685","2.5664","2.5664","2.5664"
"686","2.488","2.488","2.488"
"687","2.488","2.488","2.488"
"688","2.5791","2.5791","2.5791"
"689","2.5791","2.5791","2.5791"
"690","2.2192","2.2192","2.2192"
"691","2.2192","2.2192","2.2192"
"692","2.1732","2.1732","2.1732"
"693","2.1732","2.1732","2.1732"
"694","2.2982","2.2982","2.2982"
"695","2.2982","2.2982","2.2982"
"696","2.5214","2.5214","2.5214"
"697","2.5214","2.5214","2.5214"
"698","2.3818","2.3818","2.3818"
"699","2.3818","2.3818","2.3818"
"700","2.6245","2.6245","2.6245"
"701","2.6245","2.6245","2.6245"
"702","2.226","2.226","2.226"
"703","2.226","2.226","2.226"
"704","2.2851","2.2851","2.2851"
"705","2.2851","2.2851","2.2851"
"706","2.414","2.414","2.414"
"707","2.414","2.414","2.414"
"708","2.1674","2.1674","2.1674"
"709","2.1674","2.1674","2.1674"
"710","2.3967","2.3967","2.3967"
"711","2.3967","2.3967","2.3967"
"712","2.3826","2.3826","2.3826"
"713","2.3826","2.3826","2.3826"
"714","2.6204","2.6204","2.6204"
"715","2.6204","2.6204","2.6204"
"716","2.7056","2.7056","2.7056"
"717","2.7056","2.7056","2.7056"
"718","2.4571","2.4571","2.4571"
"719","2.4571","2.4571","2.4571"
"720","2.1772","2.1772","2.1772"
"721","2.1772","2.1772","2.1772"
"722","2.4937","2.4937","2.4937"
"723","2.4937","2.4937","2.4937"
"724","2.3133","2.3133","2.3133"
"725","2.3133","2.3133","2.3133"
"726","2.3218","2.3218","2.3218"
"727","2.3218","2.3218","2.3218"
"728","2.1693","2.1693","2.1693"
"729","2.1693","2.1693","2.1693"
"730","2.8167","2.8167","2.8167"
"731","2.8167","2.8167","2.8167"
"732","2.1213","2.1213","2.1213"
"733","2.1213","2.1213","2.1213"
"734","2.387","2.387","2.387"
"735","2.387","2.387","2.387"
"736","2.2353","2.2353","2.2353"
"737","2.2353","2.2353","2.2353"
"738","2.4644","2.4644","2.4644"
"739","2.4644","2.4644","2.4644"
"740","2.156","2.156","2.156"
"741","2.156","2.156","2.156"
"742","2.5542","2.5542","2.5542"
"743","2.5542","2.5542","2.5542"
