"Step","clear-eon-65 - train/loss","clear-eon-65 - train/loss__MIN","clear-eon-65 - train/loss__MAX"
"106","4.2965","4.2965","4.2965"
"107","4.2965","4.2965","4.2965"
"108","3.9341","3.9341","3.9341"
"109","3.9341","3.9341","3.9341"
"110","4.221","4.221","4.221"
"111","4.221","4.221","4.221"
"112","4.1293","4.1293","4.1293"
"113","4.1293","4.1293","4.1293"
"114","4.2601","4.2601","4.2601"
"115","4.2601","4.2601","4.2601"
"116","3.7028","3.7028","3.7028"
"117","3.7028","3.7028","3.7028"
"118","3.9666","3.9666","3.9666"
"119","3.9666","3.9666","3.9666"
"120","4.069","4.069","4.069"
"121","4.069","4.069","4.069"
"122","4.1671","4.1671","4.1671"
"123","4.1671","4.1671","4.1671"
"124","4.1225","4.1225","4.1225"
"125","4.1225","4.1225","4.1225"
"126","3.8274","3.8274","3.8274"
"127","3.8274","3.8274","3.8274"
"128","3.7483","3.7483","3.7483"
"129","3.7483","3.7483","3.7483"
"130","3.8968","3.8968","3.8968"
"131","3.8968","3.8968","3.8968"
"132","3.7864","3.7864","3.7864"
"133","3.7864","3.7864","3.7864"
"134","4.0596","4.0596","4.0596"
"135","4.0596","4.0596","4.0596"
"136","3.9728","3.9728","3.9728"
"137","3.9728","3.9728","3.9728"
"138","3.7299","3.7299","3.7299"
"139","3.7299","3.7299","3.7299"
"140","3.7459","3.7459","3.7459"
"141","3.7459","3.7459","3.7459"
"142","3.9984","3.9984","3.9984"
"143","3.9984","3.9984","3.9984"
"144","3.9036","3.9036","3.9036"
"145","3.9036","3.9036","3.9036"
"146","3.6364","3.6364","3.6364"
"147","3.6364","3.6364","3.6364"
"148","4.1228","4.1228","4.1228"
"149","4.1228","4.1228","4.1228"
"150","3.5806","3.5806","3.5806"
"151","3.5806","3.5806","3.5806"
"152","3.4073","3.4073","3.4073"
"153","3.4073","3.4073","3.4073"
"154","4.0004","4.0004","4.0004"
"155","4.0004","4.0004","4.0004"
"156","3.6273","3.6273","3.6273"
"157","3.6273","3.6273","3.6273"
"158","3.5245","3.5245","3.5245"
"159","3.5245","3.5245","3.5245"
"160","3.5917","3.5917","3.5917"
"161","3.5917","3.5917","3.5917"
"162","3.8857","3.8857","3.8857"
"163","3.8857","3.8857","3.8857"
"164","3.7489","3.7489","3.7489"
"165","3.7489","3.7489","3.7489"
"166","3.5918","3.5918","3.5918"
"167","3.5918","3.5918","3.5918"
"168","3.4449","3.4449","3.4449"
"169","3.4449","3.4449","3.4449"
"170","3.6634","3.6634","3.6634"
"171","3.6634","3.6634","3.6634"
"172","4.0145","4.0145","4.0145"
"173","4.0145","4.0145","4.0145"
"174","3.6357","3.6357","3.6357"
"175","3.6357","3.6357","3.6357"
"176","3.6506","3.6506","3.6506"
"177","3.6506","3.6506","3.6506"
"178","3.4037","3.4037","3.4037"
"179","3.4037","3.4037","3.4037"
"180","3.3897","3.3897","3.3897"
"181","3.3897","3.3897","3.3897"
"182","3.7091","3.7091","3.7091"
"183","3.7091","3.7091","3.7091"
"184","3.8439","3.8439","3.8439"
"185","3.8439","3.8439","3.8439"
"186","3.8017","3.8017","3.8017"
"187","3.8017","3.8017","3.8017"
"188","3.6064","3.6064","3.6064"
"189","3.6064","3.6064","3.6064"
"190","3.4619","3.4619","3.4619"
"191","3.4619","3.4619","3.4619"
"192","3.7387","3.7387","3.7387"
"193","3.7387","3.7387","3.7387"
"194","3.7499","3.7499","3.7499"
"195","3.7499","3.7499","3.7499"
"196","3.2262","3.2262","3.2262"
"197","3.2262","3.2262","3.2262"
"198","3.6491","3.6491","3.6491"
"199","3.6491","3.6491","3.6491"
"200","3.9292","3.9292","3.9292"
"201","3.9292","3.9292","3.9292"
"202","3.817","3.817","3.817"
"203","3.817","3.817","3.817"
"204","3.4316","3.4316","3.4316"
"205","3.4316","3.4316","3.4316"
"206","4.0202","4.0202","4.0202"
"207","4.0202","4.0202","4.0202"
"208","3.8381","3.8381","3.8381"
"209","3.8381","3.8381","3.8381"
"210","3.6872","3.6872","3.6872"
"211","3.6872","3.6872","3.6872"
"212","3.6105","3.6105","3.6105"
"213","3.6105","3.6105","3.6105"
"214","3.7232","3.7232","3.7232"
"215","3.7232","3.7232","3.7232"
"216","3.7905","3.7905","3.7905"
"217","3.7905","3.7905","3.7905"
"218","3.4076","3.4076","3.4076"
"219","3.4076","3.4076","3.4076"
"220","3.5112","3.5112","3.5112"
"221","3.5112","3.5112","3.5112"
"222","3.5857","3.5857","3.5857"
"223","3.5857","3.5857","3.5857"
"224","3.6918","3.6918","3.6918"
"225","3.6918","3.6918","3.6918"
"226","3.8252","3.8252","3.8252"
"227","3.8252","3.8252","3.8252"
"228","3.5054","3.5054","3.5054"
"229","3.5054","3.5054","3.5054"
"230","3.6428","3.6428","3.6428"
"231","3.6428","3.6428","3.6428"
"232","3.4473","3.4473","3.4473"
"233","3.4473","3.4473","3.4473"
"234","3.6508","3.6508","3.6508"
"235","3.6508","3.6508","3.6508"
"236","3.5307","3.5307","3.5307"
"237","3.5307","3.5307","3.5307"
"238","3.3371","3.3371","3.3371"
"239","3.3371","3.3371","3.3371"
"240","3.5095","3.5095","3.5095"
"241","3.5095","3.5095","3.5095"
"242","3.9526","3.9526","3.9526"
"243","3.9526","3.9526","3.9526"
"244","3.9686","3.9686","3.9686"
"245","3.9686","3.9686","3.9686"
"246","3.7765","3.7765","3.7765"
"247","3.7765","3.7765","3.7765"
"248","3.3066","3.3066","3.3066"
"249","3.3066","3.3066","3.3066"
"250","3.2644","3.2644","3.2644"
"251","3.2644","3.2644","3.2644"
"252","3.9065","3.9065","3.9065"
"253","3.9065","3.9065","3.9065"
"254","3.5997","3.5997","3.5997"
"255","3.5997","3.5997","3.5997"
"256","3.7206","3.7206","3.7206"
"257","3.7206","3.7206","3.7206"
"258","3.6687","3.6687","3.6687"
"259","3.6687","3.6687","3.6687"
"260","3.3697","3.3697","3.3697"
"261","3.3697","3.3697","3.3697"
"262","3.57","3.57","3.57"
"263","3.57","3.57","3.57"
"264","3.3961","3.3961","3.3961"
"265","3.3961","3.3961","3.3961"
"266","3.4964","3.4964","3.4964"
"267","3.4964","3.4964","3.4964"
"268","3.4743","3.4743","3.4743"
"269","3.4743","3.4743","3.4743"
"270","3.6009","3.6009","3.6009"
"271","3.6009","3.6009","3.6009"
"272","3.3114","3.3114","3.3114"
"273","3.3114","3.3114","3.3114"
"274","3.769","3.769","3.769"
"275","3.769","3.769","3.769"
"276","3.3497","3.3497","3.3497"
"277","3.3497","3.3497","3.3497"
"278","3.4107","3.4107","3.4107"
"279","3.4107","3.4107","3.4107"
"280","3.6591","3.6591","3.6591"
"281","3.6591","3.6591","3.6591"
"282","3.445","3.445","3.445"
"283","3.445","3.445","3.445"
"284","3.3916","3.3916","3.3916"
"285","3.3916","3.3916","3.3916"
"286","3.5508","3.5508","3.5508"
"287","3.5508","3.5508","3.5508"
"288","3.4695","3.4695","3.4695"
"289","3.4695","3.4695","3.4695"
"290","3.6189","3.6189","3.6189"
"291","3.6189","3.6189","3.6189"
"292","3.4504","3.4504","3.4504"
"293","3.4504","3.4504","3.4504"
"294","3.3634","3.3634","3.3634"
"295","3.3634","3.3634","3.3634"
"296","3.5327","3.5327","3.5327"
"297","3.5327","3.5327","3.5327"
"298","3.4505","3.4505","3.4505"
"299","3.4505","3.4505","3.4505"
"300","3.5271","3.5271","3.5271"
"301","3.5271","3.5271","3.5271"
"302","3.4129","3.4129","3.4129"
"303","3.4129","3.4129","3.4129"
"304","3.4903","3.4903","3.4903"
"305","3.4903","3.4903","3.4903"
"306","3.3712","3.3712","3.3712"
"307","3.3712","3.3712","3.3712"
"308","3.5659","3.5659","3.5659"
"309","3.5659","3.5659","3.5659"
"310","3.5632","3.5632","3.5632"
"311","3.5632","3.5632","3.5632"
"312","3.3447","3.3447","3.3447"
"313","3.3447","3.3447","3.3447"
"314","3.7173","3.7173","3.7173"
"315","3.7173","3.7173","3.7173"
"316","3.3911","3.3911","3.3911"
"317","3.3911","3.3911","3.3911"
"318","3.4357","3.4357","3.4357"
"319","3.4357","3.4357","3.4357"
"320","3.4176","3.4176","3.4176"
"321","3.4176","3.4176","3.4176"
"322","3.4943","3.4943","3.4943"
"323","3.4943","3.4943","3.4943"
"324","3.5094","3.5094","3.5094"
"325","3.5094","3.5094","3.5094"
"326","3.3807","3.3807","3.3807"
"327","3.3807","3.3807","3.3807"
"328","3.5689","3.5689","3.5689"
"329","3.5689","3.5689","3.5689"
"330","3.721","3.721","3.721"
"331","3.721","3.721","3.721"
"332","3.8269","3.8269","3.8269"
"333","3.8269","3.8269","3.8269"
"334","3.6356","3.6356","3.6356"
"335","3.6356","3.6356","3.6356"
"336","3.2083","3.2083","3.2083"
"337","3.2083","3.2083","3.2083"
"338","3.648","3.648","3.648"
"339","3.648","3.648","3.648"
"340","3.3723","3.3723","3.3723"
"341","3.3723","3.3723","3.3723"
"342","3.3423","3.3423","3.3423"
"343","3.3423","3.3423","3.3423"
"344","3.5823","3.5823","3.5823"
"345","3.5823","3.5823","3.5823"
"346","3.475","3.475","3.475"
"347","3.475","3.475","3.475"
"348","3.3032","3.3032","3.3032"
"349","3.3032","3.3032","3.3032"
"350","3.4054","3.4054","3.4054"
"351","3.4054","3.4054","3.4054"
"352","2.9149","2.9149","2.9149"
"353","2.9149","2.9149","2.9149"
"354","3.2443","3.2443","3.2443"
"355","3.2443","3.2443","3.2443"
"356","3.5249","3.5249","3.5249"
"357","3.5249","3.5249","3.5249"
"358","3.1315","3.1315","3.1315"
"359","3.1315","3.1315","3.1315"
"360","3.2731","3.2731","3.2731"
"361","3.2731","3.2731","3.2731"
"362","3.7419","3.7419","3.7419"
"363","3.7419","3.7419","3.7419"
"364","3.28","3.28","3.28"
"365","3.28","3.28","3.28"
"366","3.0115","3.0115","3.0115"
"367","3.0115","3.0115","3.0115"
"368","3.3214","3.3214","3.3214"
"369","3.3214","3.3214","3.3214"
"370","3.1436","3.1436","3.1436"
"371","3.1436","3.1436","3.1436"
"372","3.3593","3.3593","3.3593"
"373","3.3593","3.3593","3.3593"
"374","3.4279","3.4279","3.4279"
"375","3.4279","3.4279","3.4279"
"376","3.1803","3.1803","3.1803"
"377","3.1803","3.1803","3.1803"
"378","3.415","3.415","3.415"
"379","3.415","3.415","3.415"
"380","3.3131","3.3131","3.3131"
"381","3.3131","3.3131","3.3131"
"382","3.4236","3.4236","3.4236"
"383","3.4236","3.4236","3.4236"
"384","3.2188","3.2188","3.2188"
"385","3.2188","3.2188","3.2188"
"386","3.4763","3.4763","3.4763"
"387","3.4763","3.4763","3.4763"
"388","3.5374","3.5374","3.5374"
"389","3.5374","3.5374","3.5374"
"390","3.6094","3.6094","3.6094"
"391","3.6094","3.6094","3.6094"
"392","3.4015","3.4015","3.4015"
"393","3.4015","3.4015","3.4015"
"394","3.3625","3.3625","3.3625"
"395","3.3625","3.3625","3.3625"
"396","3.1227","3.1227","3.1227"
"397","3.1227","3.1227","3.1227"
"398","3.5668","3.5668","3.5668"
"399","3.5668","3.5668","3.5668"
"400","3.2256","3.2256","3.2256"
"401","3.2256","3.2256","3.2256"
"402","3.2402","3.2402","3.2402"
"403","3.2402","3.2402","3.2402"
"404","3.9206","3.9206","3.9206"
"405","3.9206","3.9206","3.9206"
"406","3.6241","3.6241","3.6241"
"407","3.6241","3.6241","3.6241"
"408","3.4206","3.4206","3.4206"
"409","3.4206","3.4206","3.4206"
"410","3.1795","3.1795","3.1795"
"411","3.1795","3.1795","3.1795"
"412","3.4766","3.4766","3.4766"
"413","3.4766","3.4766","3.4766"
"414","3.2962","3.2962","3.2962"
"415","3.2962","3.2962","3.2962"
"416","3.1344","3.1344","3.1344"
"417","3.1344","3.1344","3.1344"
"418","3.6976","3.6976","3.6976"
"419","3.6976","3.6976","3.6976"
"420","3.2872","3.2872","3.2872"
"421","3.2872","3.2872","3.2872"
"422","3.597","3.597","3.597"
"423","3.597","3.597","3.597"
"424","3.443","3.443","3.443"
"425","3.443","3.443","3.443"
"426","3.5352","3.5352","3.5352"
"427","3.5352","3.5352","3.5352"
"428","3.3194","3.3194","3.3194"
"429","3.3194","3.3194","3.3194"
"430","3.2212","3.2212","3.2212"
"431","3.2212","3.2212","3.2212"
"432","3.4138","3.4138","3.4138"
"433","3.4138","3.4138","3.4138"
"434","3.4429","3.4429","3.4429"
"435","3.4429","3.4429","3.4429"
"436","3.566","3.566","3.566"
"437","3.566","3.566","3.566"
"438","3.2697","3.2697","3.2697"
"439","3.2697","3.2697","3.2697"
"440","3.4113","3.4113","3.4113"
"441","3.4113","3.4113","3.4113"
"442","3.5065","3.5065","3.5065"
"443","3.5065","3.5065","3.5065"
"444","3.4913","3.4913","3.4913"
"445","3.4913","3.4913","3.4913"
"446","3.2235","3.2235","3.2235"
"447","3.2235","3.2235","3.2235"
"448","3.1951","3.1951","3.1951"
"449","3.1951","3.1951","3.1951"
"450","3.1511","3.1511","3.1511"
"451","3.1511","3.1511","3.1511"
"452","3.211","3.211","3.211"
"453","3.211","3.211","3.211"
"454","3.6334","3.6334","3.6334"
"455","3.6334","3.6334","3.6334"
"456","3.42","3.42","3.42"
"457","3.42","3.42","3.42"
"458","3.3454","3.3454","3.3454"
"459","3.3454","3.3454","3.3454"
"460","3.5933","3.5933","3.5933"
"461","3.5933","3.5933","3.5933"
"462","3.3103","3.3103","3.3103"
"463","3.3103","3.3103","3.3103"
"464","3.4508","3.4508","3.4508"
"465","3.4508","3.4508","3.4508"
"466","3.3326","3.3326","3.3326"
"467","3.3326","3.3326","3.3326"
"468","3.4775","3.4775","3.4775"
"469","3.4775","3.4775","3.4775"
"470","3.4236","3.4236","3.4236"
"471","3.4236","3.4236","3.4236"
"472","3.6886","3.6886","3.6886"
"473","3.6886","3.6886","3.6886"
"474","3.1718","3.1718","3.1718"
"475","3.1718","3.1718","3.1718"
"476","3.3634","3.3634","3.3634"
"477","3.3634","3.3634","3.3634"
"478","3.5733","3.5733","3.5733"
"479","3.5733","3.5733","3.5733"
"480","3.5439","3.5439","3.5439"
"481","3.5439","3.5439","3.5439"
"482","3.2921","3.2921","3.2921"
"483","3.2921","3.2921","3.2921"
"484","3.6959","3.6959","3.6959"
"485","3.6959","3.6959","3.6959"
"486","3.2526","3.2526","3.2526"
"487","3.2526","3.2526","3.2526"
"488","3.5274","3.5274","3.5274"
"489","3.5274","3.5274","3.5274"
"490","3.562","3.562","3.562"
"491","3.562","3.562","3.562"
"492","3.2851","3.2851","3.2851"
"493","3.2851","3.2851","3.2851"
"494","3.5211","3.5211","3.5211"
"495","3.5211","3.5211","3.5211"
"496","3.0995","3.0995","3.0995"
"497","3.0995","3.0995","3.0995"
"498","3.4011","3.4011","3.4011"
"499","3.4011","3.4011","3.4011"
"500","3.4603","3.4603","3.4603"
"501","3.4603","3.4603","3.4603"
"502","3.3447","3.3447","3.3447"
"503","3.3447","3.3447","3.3447"
"504","3.5154","3.5154","3.5154"
"505","3.5154","3.5154","3.5154"
"506","3.2804","3.2804","3.2804"
"507","3.2804","3.2804","3.2804"
"508","3.505","3.505","3.505"
"509","3.505","3.505","3.505"
"510","3.3624","3.3624","3.3624"
"511","3.3624","3.3624","3.3624"
"512","3.3557","3.3557","3.3557"
"513","3.3557","3.3557","3.3557"
"514","3.5518","3.5518","3.5518"
"515","3.5518","3.5518","3.5518"
"516","3.6118","3.6118","3.6118"
"517","3.6118","3.6118","3.6118"
"518","3.1148","3.1148","3.1148"
"519","3.1148","3.1148","3.1148"
"520","3.3093","3.3093","3.3093"
"521","3.3093","3.3093","3.3093"
"522","3.375","3.375","3.375"
"523","3.375","3.375","3.375"
"524","3.6001","3.6001","3.6001"
"525","3.6001","3.6001","3.6001"
"526","3.3406","3.3406","3.3406"
"527","3.3406","3.3406","3.3406"
"528","3.3858","3.3858","3.3858"
"529","3.3858","3.3858","3.3858"
"530","3.1588","3.1588","3.1588"
"531","3.1588","3.1588","3.1588"
"532","3.1139","3.1139","3.1139"
"533","3.1139","3.1139","3.1139"
"534","3.175","3.175","3.175"
"535","3.175","3.175","3.175"
"536","3.2962","3.2962","3.2962"
"537","3.2962","3.2962","3.2962"
"538","3.3143","3.3143","3.3143"
"539","3.3143","3.3143","3.3143"
"540","3.3032","3.3032","3.3032"
"541","3.3032","3.3032","3.3032"
"542","3.4439","3.4439","3.4439"
"543","3.4439","3.4439","3.4439"
"544","3.3896","3.3896","3.3896"
"545","3.3896","3.3896","3.3896"
"546","3.3828","3.3828","3.3828"
"547","3.3828","3.3828","3.3828"
"548","3.8028","3.8028","3.8028"
"549","3.8028","3.8028","3.8028"
"550","3.3521","3.3521","3.3521"
"551","3.3521","3.3521","3.3521"
"552","3.3305","3.3305","3.3305"
"553","3.3305","3.3305","3.3305"
"554","3.3468","3.3468","3.3468"
"555","3.3468","3.3468","3.3468"
"556","2.9283","2.9283","2.9283"
"557","2.9283","2.9283","2.9283"
"558","3.3732","3.3732","3.3732"
"559","3.3732","3.3732","3.3732"
"560","3.4477","3.4477","3.4477"
"561","3.4477","3.4477","3.4477"
"562","3.4071","3.4071","3.4071"
"563","3.4071","3.4071","3.4071"
"564","3.2991","3.2991","3.2991"
"565","3.2991","3.2991","3.2991"
"566","3.338","3.338","3.338"
"567","3.338","3.338","3.338"
"568","3.3324","3.3324","3.3324"
"569","3.3324","3.3324","3.3324"
"570","3.4004","3.4004","3.4004"
"571","3.4004","3.4004","3.4004"
"572","3.214","3.214","3.214"
"573","3.214","3.214","3.214"
"574","2.989","2.989","2.989"
"575","2.989","2.989","2.989"
"576","3.3543","3.3543","3.3543"
"577","3.3543","3.3543","3.3543"
"578","3.2923","3.2923","3.2923"
"579","3.2923","3.2923","3.2923"
"580","3.2197","3.2197","3.2197"
"581","3.2197","3.2197","3.2197"
"582","3.4779","3.4779","3.4779"
"583","3.4779","3.4779","3.4779"
"584","3.2919","3.2919","3.2919"
"585","3.2919","3.2919","3.2919"
"586","3.19","3.19","3.19"
"587","3.19","3.19","3.19"
"588","3.5037","3.5037","3.5037"
"589","3.5037","3.5037","3.5037"
"590","3.2856","3.2856","3.2856"
"591","3.2856","3.2856","3.2856"
"592","3.1985","3.1985","3.1985"
"593","3.1985","3.1985","3.1985"
"594","3.3954","3.3954","3.3954"
"595","3.3954","3.3954","3.3954"
"596","3.3489","3.3489","3.3489"
"597","3.3489","3.3489","3.3489"
"598","3.4129","3.4129","3.4129"
"599","3.4129","3.4129","3.4129"
"600","3.3809","3.3809","3.3809"
"601","3.3809","3.3809","3.3809"
"602","3.3497","3.3497","3.3497"
"603","3.3497","3.3497","3.3497"
"604","3.3438","3.3438","3.3438"
"605","3.3438","3.3438","3.3438"
"606","3.314","3.314","3.314"
"607","3.314","3.314","3.314"
"608","3.4451","3.4451","3.4451"
"609","3.4451","3.4451","3.4451"
"610","3.1953","3.1953","3.1953"
"611","3.1953","3.1953","3.1953"
"612","3.1551","3.1551","3.1551"
"613","3.1551","3.1551","3.1551"
"614","3.5223","3.5223","3.5223"
"615","3.5223","3.5223","3.5223"
"616","3.4515","3.4515","3.4515"
"617","3.4515","3.4515","3.4515"
"618","3.2398","3.2398","3.2398"
"619","3.2398","3.2398","3.2398"
"620","3.2657","3.2657","3.2657"
"621","3.2657","3.2657","3.2657"
"622","3.4079","3.4079","3.4079"
"623","3.4079","3.4079","3.4079"
"624","3.5169","3.5169","3.5169"
"625","3.5169","3.5169","3.5169"
"626","3.2319","3.2319","3.2319"
"627","3.2319","3.2319","3.2319"
"628","3.3524","3.3524","3.3524"
"629","3.3524","3.3524","3.3524"
"630","3.0243","3.0243","3.0243"
"631","3.0243","3.0243","3.0243"
"632","2.993","2.993","2.993"
"633","2.993","2.993","2.993"
"634","3.0886","3.0886","3.0886"
"635","3.0886","3.0886","3.0886"
"636","3.4235","3.4235","3.4235"
"637","3.4235","3.4235","3.4235"
"638","3.0986","3.0986","3.0986"
"639","3.0986","3.0986","3.0986"
"640","3.12","3.12","3.12"
"641","3.12","3.12","3.12"
"642","3.3656","3.3656","3.3656"
"643","3.3656","3.3656","3.3656"
"644","3.4851","3.4851","3.4851"
"645","3.4851","3.4851","3.4851"
"646","3.4247","3.4247","3.4247"
"647","3.4247","3.4247","3.4247"
"648","2.8483","2.8483","2.8483"
"649","2.8483","2.8483","2.8483"
"650","3.4567","3.4567","3.4567"
"651","3.4567","3.4567","3.4567"
"652","3.5211","3.5211","3.5211"
"653","3.5211","3.5211","3.5211"
"654","3.36","3.36","3.36"
"655","3.36","3.36","3.36"
"656","3.0014","3.0014","3.0014"
"657","3.0014","3.0014","3.0014"
"658","3.1961","3.1961","3.1961"
"659","3.1961","3.1961","3.1961"
"660","3.5069","3.5069","3.5069"
"661","3.5069","3.5069","3.5069"
"662","3.3044","3.3044","3.3044"
"663","3.3044","3.3044","3.3044"
"664","3.5279","3.5279","3.5279"
"665","3.5279","3.5279","3.5279"
"666","3.098","3.098","3.098"
"667","3.098","3.098","3.098"
"668","3.2883","3.2883","3.2883"
"669","3.2883","3.2883","3.2883"
"670","3.4184","3.4184","3.4184"
"671","3.4184","3.4184","3.4184"
"672","3.3407","3.3407","3.3407"
"673","3.3407","3.3407","3.3407"
"674","3.143","3.143","3.143"
"675","3.143","3.143","3.143"
"676","3.7704","3.7704","3.7704"
"677","3.7704","3.7704","3.7704"
"678","3.333","3.333","3.333"
"679","3.333","3.333","3.333"
"680","3.3161","3.3161","3.3161"
"681","3.3161","3.3161","3.3161"
"682","3.5986","3.5986","3.5986"
"683","3.5986","3.5986","3.5986"
"684","3.1602","3.1602","3.1602"
"685","3.1602","3.1602","3.1602"
"686","3.3139","3.3139","3.3139"
"687","3.3139","3.3139","3.3139"
"688","3.2955","3.2955","3.2955"
"689","3.2955","3.2955","3.2955"
"690","3.0389","3.0389","3.0389"
"691","3.0389","3.0389","3.0389"
"692","2.9004","2.9004","2.9004"
"693","2.9004","2.9004","2.9004"
"694","3.0494","3.0494","3.0494"
"695","3.0494","3.0494","3.0494"
"696","3.3824","3.3824","3.3824"
"697","3.3824","3.3824","3.3824"
"698","3.1028","3.1028","3.1028"
"699","3.1028","3.1028","3.1028"
"700","3.2759","3.2759","3.2759"
"701","3.2759","3.2759","3.2759"
"702","3.0571","3.0571","3.0571"
"703","3.0571","3.0571","3.0571"
"704","3.3349","3.3349","3.3349"
"705","3.3349","3.3349","3.3349"
"706","3.1807","3.1807","3.1807"
"707","3.1807","3.1807","3.1807"
"708","2.8734","2.8734","2.8734"
"709","2.8734","2.8734","2.8734"
"710","3.0284","3.0284","3.0284"
"711","3.0284","3.0284","3.0284"
"712","3.152","3.152","3.152"
"713","3.152","3.152","3.152"
"714","3.3408","3.3408","3.3408"
"715","3.3408","3.3408","3.3408"
"716","3.3907","3.3907","3.3907"
"717","3.3907","3.3907","3.3907"
"718","3.1817","3.1817","3.1817"
"719","3.1817","3.1817","3.1817"
"720","3.0802","3.0802","3.0802"
"721","3.0802","3.0802","3.0802"
"722","3.3846","3.3846","3.3846"
"723","3.3846","3.3846","3.3846"
"724","3.1179","3.1179","3.1179"
"725","3.1179","3.1179","3.1179"
"726","3.1409","3.1409","3.1409"
"727","3.1409","3.1409","3.1409"
"728","2.9828","2.9828","2.9828"
"729","2.9828","2.9828","2.9828"
"730","3.4425","3.4425","3.4425"
"731","3.4425","3.4425","3.4425"
"732","3.0698","3.0698","3.0698"
"733","3.0698","3.0698","3.0698"
"734","3.1785","3.1785","3.1785"
"735","3.1785","3.1785","3.1785"
"736","3.0682","3.0682","3.0682"
"737","3.0682","3.0682","3.0682"
"738","3.1851","3.1851","3.1851"
"739","3.1851","3.1851","3.1851"
"740","3.0522","3.0522","3.0522"
"741","3.0522","3.0522","3.0522"
"742","3.3469","3.3469","3.3469"
